"","station","year","month","po4f","nh4f","no2f","no3f","no23f","chla_n","po4f_cens","nh4f_cens","no2f_cens","no3f_cens","no23f_cens","chla_n_cens"
"3467","cbmipnut",2003,4,0.0178,0.0934,0.0054,0.4696,0.475,10.02,0,0,0,0,0,0
"3468","cbmipnut",2003,5,0.039,0.12625,0.01425,0.3495,0.36375,3.825,0,0,0,0,0,0
"3469","cbmipnut",2003,6,0.03025,0.11675,0.0155,0.376,0.3915,2,0,0,0,0,0,0
"3470","cbmipnut",2003,7,0.0638,0.0628,0.0152,0.5868,0.602,1.46666666666667,0,0,0,0,0,0
"3471","cbmipnut",2003,8,0.15175,0.043,0.0065,0.62625,0.63275,2.575,0,0,0,0,0,0
"3472","cbmipnut",2003,9,0.119666666666667,0.0306666666666667,0.00633333333333333,0.425666666666667,0.432,7.5,0,0,0,0,0,0
"3473","cbmipnut",2003,10,0.1474,0.027,0.0044,0.4812,0.4856,2.1,0,0,0,0,0,0
"3474","cbmipnut",2003,11,0.37775,0.048,0.00675,1.24325,1.25,NA,0,0,0,0,0,NA
"3475","cbmipnut",2003,12,0.02505,0.081,0.0219,1.2561,1.278,NA,0,0,0,0,0,NA
"3476","cbmipnut",2004,2,0.0192,0.165,0.0093,0.838,0.847,NA,0,0,0,0,0,NA
"3477","cbmipnut",2004,3,0.0109,0.445,0.0185,0.537,0.555,39.2,0,0,0,0,0,0
"3478","cbmipnut",2004,4,0.01595,2.0325,0.0075,0.253,0.2605,13.1,0,0,0,0,0,0
"3479","cbmipnut",2004,5,0.0386,0.3415,0.02165,0.3015,0.323,21.8,0,0,0,0,0,0
"3480","cbmipnut",2004,6,0.19625,0.08225,0.01165,0.547,0.5585,9.375,0,0,0,0,0,0
"3481","cbmipnut",2004,7,0.07485,0.0555,0.0097,0.339,0.3485,12.15,0,0,0,0,0,0
"3482","cbmipnut",2004,8,0.1825,0.0615,0.00795,0.8825,0.89,22.4,0,0,0,0,0,0
"3483","cbmipnut",2004,9,0.15,0.0545,0.00575,0.6855,0.6915,10.25,0,0,0,0,0,0
"3484","cbmipnut",2004,10,0.1745,0.03,0.0053,0.4365,0.442,4.1,0,0,0,0,0,0
"3485","cbmipnut",2004,11,0.12445,0.0255,0.00535,0.2605,0.2655,13.5,0,0,0,0,0,0
"3486","cbmipnut",2004,12,0.07105,0.0895,0.0076,0.5825,0.5905,11.25,0,0,0,0,0,0
