"","station","year","month","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr"
"2395","cbmipwq",2003,4,2536,7.3,13.9,17.9,13.368572555205,2.66604814567353,3,2536,0.28,0.36,0.45,0.361533911671924,0.0289891027856001,0.03,2536,0.1,0.2,0.2,0.1948738170347,0.0220574793448786,0,2536,79.4,95.4,113.4,95.4273264984227,8.28856335885247,14.2,2536,7.9,9.8,12.7,10.0203470031546,1.23393984148388,1.925,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2536,7,7.2,7.5,7.21427444794953,0.112919417575423,0.2,2536,4,8,69,11.6857255520505,10.2445929985582,7,2536,0,2536,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2396","cbmipwq",2003,5,2976,12.8,16,19.5,16.2321908602151,1.40566872934891,2.1,2976,0.19,0.35,0.46,0.339233870967742,0.0620908881819954,0.09,2976,0.1,0.2,0.2,0.171135752688172,0.0453207473067432,0.1,2976,67,85.3,98.3,84.6671034946237,5.46098182547725,5.59999999999999,2976,6.7,8.35,10,8.3192876344086,0.572423093740147,0.699999999999999,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2976,6.8,7.1,7.3,7.11152553763441,0.106296990098086,0.100000000000001,2486,5,12,158,19.7940466613033,20.5397445797322,14,2976,0,2976,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2397","cbmipwq",2003,6,2832,15.3,19.4,23.1,19.4847810734463,2.1043708247576,3.4,2832,0.15,0.25,0.35,0.247923728813559,0.0554611747288533,0.1,2832,0.1,0.1,0.2,0.120444915254237,0.0403369743110024,0,2832,51.8,78.5,90.6,76.8343926553672,7.25115004838195,11.5,2832,4.8,7.1,8.9,7.07270480225989,0.754906260474363,1.1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2832,6.5,7,7.4,6.97415254237288,0.129242509710962,0.199999999999999,2696,8,33,1088,54.8416172106825,76.4016711260496,51,2832,0,2832,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2398","cbmipwq",2003,7,2976,20.4,23,24.6,22.8467405913979,0.852044182335015,1.2,2976,0.15,0.32,0.44,0.304314516129032,0.06179989832442,0.09,2976,0.1,0.2,0.2,0.15567876344086,0.0496848180245663,0.1,2976,58.7,81.3,93,79.6274865591398,6.2651698683125,6.5,2976,4.9,7,7.8,6.85036962365591,0.523908900097467,0.5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2976,6.7,7.2,7.3,7.12190860215054,0.145280440643402,0.100000000000001,2711,5,22,393,39.0616008852822,48.736594192914,31,2976,0,2976,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2399","cbmipwq",2003,8,2974,21.8,23.8,25.4,23.7415938130464,0.734980760913008,1,2974,0.2,0.36,0.49,0.354492266308003,0.0540906022021791,0.07,2974,0.1,0.2,0.2,0.182212508406187,0.0382471721898554,0,2974,55.1,77.8,103.8,77.3341627437794,5.08309654867176,5.2,2974,4.7,6.6,8.7,6.54166106254203,0.42985936824958,0.399999999999999,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2974,7,7.2,7.5,7.21967047747142,0.0785833128351432,0.0999999999999996,2898,5,15,254,27.0555555555556,30.5150135671775,18,2974,0,2974,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2400","cbmipwq",2003,9,2879,17.6,21.1,24.6,21.2474122959361,1.31594147031794,1.4,2879,0.11,0.32,0.45,0.303442167419243,0.0686982811237085,0.08,2879,0.1,0.2,0.2,0.161618617575547,0.0486397931691088,0.1,2879,48.6,78.6,90.7,76.3335185828413,8.22476631335062,8.3,2879,4.4,6.9,8.4,6.77606807919416,0.74207911131856,0.8,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2879,6.6,7.2,7.4,7.13935394234109,0.175626742615117,0.2,2740,7,17,355,30.7770072992701,36.5112512552217,16,2879,0,2879,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2401","cbmipwq",2003,10,2964,11.5,16.2,20.2,16.0842105263158,1.82413610014625,2.4,2964,0.17,0.37,0.5,0.36059379217274,0.0665137729077562,0.05,2964,0.1,0.2,0.2,0.183738191632928,0.0369079124980485,0,2289,18.3,88.6,103.6,87.3101354303189,7.61202882893186,8.69999999999999,2289,1.8,8.8,10.2,8.70790738313674,0.678666832650636,0.899999999999999,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2964,6.8,7.3,7.4,7.2197705802969,0.139983900519035,0.0999999999999996,2957,3,9,193,16.0764288129861,20.8014384121947,6,2289,1,2289,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2402","cbmipwq",2003,11,2878,7.1,12.5,20,13.0943015983322,2.71817135686361,3.2,2878,0.16,0.31,0.45,0.2931723419041,0.0503692880479284,0.06,2878,0.1,0.2,0.2,0.152883947185546,0.0499254335829226,0.1,2878,61.9,89.6,97.6,87.4277970813065,7.40914418336495,9.5,2878,5.8,9.6,11,9.2503127171647,1.16639522914474,1.7,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2878,6.8,7.1,7.2,7.0992703266157,0.0994396320344633,0.100000000000001,2878,5,11,209,20.3478109798471,22.9508916515542,13,2878,0,2878,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2403","cbmipwq",2003,12,2976,2.3,6.6,10.3,6.51344086021505,1.54753502729437,2.2,2976,0.24,0.33,0.99,0.37804435483871,0.123457498753108,0.08,2976,0.1,0.2,0.5,0.198958333333333,0.0659685966373161,0,2976,81.5,95.7,101.8,94.8644825268817,3.92240861532515,4.10000000000001,2976,9.5,11.8,13.3,11.6660954301075,0.666733925460991,0.799999999999999,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2976,6.9,7.1,7.2,7.08760080645161,0.0797316291805604,0,2973,6,13,200,22.1342078708375,21.6848795484193,18,2976,0,2976,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2404","cbmipwq",2004,1,2069,1.2,5.3,12.3,5.99879168680522,2.41499055698714,3.3,1736,0.3,0.35,1.56,0.36294930875576,0.0923902871099536,0.02,1736,0.1,0.2,0.8,0.205357142857143,0.042407237783017,0,2069,86.8,96.1,100.6,95.9101498308361,2.09938128188001,2.3,2069,9.3,12.2,13.8,11.9774770420493,0.859003524557875,1.1,1447,0.37,0.88,1.52,0.890200414651002,0.250298634746266,0.39,0,NA,NA,NA,NA,NA,NA,2069,7.1,7.2,7.3,7.1670372160464,0.0519072326365298,0.100000000000001,2069,4,7,52,8.76413726437893,5.40644445782439,3,2069,0,2069,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
