"","station","year","month","po4f","nh4f","no2f","no3f","no23f","chla_n","po4f_cens","nh4f_cens","no2f_cens","no3f_cens","no23f_cens","chla_n_cens"
"9489","grbgbnut",2002,4,9e-04,0.0378,NA,NA,0.0027,10.47,1,0,NA,NA,0,0
"9490","grbgbnut",2002,5,0.0192,0.1123,NA,NA,0.0937,0.6,0,0,NA,NA,0,0
"9491","grbgbnut",2002,6,0.0186,0.0935,0.0046,0.0581,0.0627,2.07,0,0,0,0,0,0
"9492","grbgbnut",2002,7,0.0232,0.0361,0.004,0.0152,0.0192,6.37,0,0,0,0,0,0
"9493","grbgbnut",2002,8,0.0502,0.0126,NA,NA,0.0042,3.11,0,0,NA,NA,0,0
"9494","grbgbnut",2002,9,0.0449,0.005,4e-04,NA,0.0021,5.48,0,0,0,NA,1,0
"9495","grbgbnut",2002,10,0.0374,0.005,1e-04,NA,0.0021,17.46,0,0,1,NA,1,0
"9496","grbgbnut",2002,11,0.0286,0.0541,0.0085,0.1128,0.1213,5.09,0,0,0,0,0,0
"9497","grbgbnut",2003,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9498","grbgbnut",2003,5,0.0063,0.0083,1e-04,NA,0.0161,2.75,0,0,1,NA,0,0
"9499","grbgbnut",2003,6,0.0234,0.1026,0.0066,0.0755,0.0821,3.34,0,0,0,0,0,0
"9500","grbgbnut",2003,7,0.0274,0.0244,0.0038,0.023,0.0268,6.01,0,0,0,0,0,0
"9501","grbgbnut",2003,8,0.0262,0.043,0.0035,0.0149,0.0184,7.01,0,0,0,0,0,0
"9502","grbgbnut",2003,9,0.037,0.0128,0.003,NA,0.003,17.02,0,0,1,NA,1,0
"9503","grbgbnut",2003,11,0.03645,0.08335,0.008,0.10185,0.10985,3.75,0,0,0,0,0,0
"9504","grbgbnut",2004,4,0.005,0.0674,0.005,NA,0.1085,4.62,1,0,1,NA,0,0
"9505","grbgbnut",2004,5,0.005,0.0985,0.0071,0.0945,0.1016,3.14,1,0,0,0,0,0
"9506","grbgbnut",2004,6,0.005,0.033,0.008,0.0824,0.0904,NA,1,0,0,0,0,NA
"9507","grbgbnut",2004,7,0.005,0.005,0.005,NA,0.0297,5.52,1,1,1,NA,0,0
"9508","grbgbnut",2004,8,0.0696,NA,0.005,NA,0.0606,6.3,0,NA,1,NA,0,0
"9509","grbgbnut",2004,9,0.0357,0.0519,0.005,NA,0.0846,6.31,0,0,1,NA,0,0
"9510","grbgbnut",2004,10,0.0086,0.038,0.005,NA,0.005,1.6,0,0,1,NA,1,0
"9511","grbgbnut",2004,11,0.0303,0.0238,0.005,NA,0.1454,1.35,0,0,1,NA,0,0
"9512","grbgbnut",2004,12,0.0169,0.0486,0.005,NA,0.1381,2.52,0,0,1,NA,0,0
"9513","grbgbnut",2005,4,0.0256,0.005,0.003,NA,0.005,7.9,0,1,1,NA,1,0
"9514","grbgbnut",2005,5,0.0086,0.0521,0.003,NA,0.0656,1.29,0,0,1,NA,0,0
"9515","grbgbnut",2005,6,0.0193,0.0587,0.003,NA,0.1354,5.61,0,0,1,NA,0,0
"9516","grbgbnut",2005,7,0.0233,0.005,0.003,NA,0.007,6.49,0,1,1,NA,0,0
"9517","grbgbnut",2005,8,0.0489,0.005,0.003,NA,0.005,2.62,0,1,1,NA,1,0
"9518","grbgbnut",2005,9,0.0522,0.005,0.003,NA,0.005,10.91,0,1,1,NA,1,0
"9519","grbgbnut",2005,10,0.0233,0.0603,0.003,NA,0.1147,7.24,0,0,1,NA,0,0
"9520","grbgbnut",2005,11,0.0425,0.0647,0.0051,0.6105,0.6156,0.44,0,0,0,0,0,0
"9521","grbgbnut",2005,12,0.0224,0.0315,0.003,NA,0.2277,1.33,0,0,1,NA,0,0
"9522","grbgbnut",2006,4,0.005,0.005,0.003,NA,0.005,9.017,1,1,1,NA,1,0
"9523","grbgbnut",2006,5,0.01205,0.0511,0.0036,0.1277,0.13125,2.6665,0,0,1,0,0,0
"9524","grbgbnut",2006,6,0.0281,0.0879,0.00955,0.09585,0.1054,1.7915,0,0,0,0,0,0
"9525","grbgbnut",2006,7,0.0152,0.005,0.003,NA,0.0321,13.675,0,1,1,NA,0,0
"9526","grbgbnut",2006,8,0.03375,0.06985,0.003,NA,0.01235,9.442,0,0,1,NA,0,0
"9527","grbgbnut",2006,9,0.0344,0.06595,0.0035,0.0538,0.0449,6.2505,0,0,1,0,0,0
"9528","grbgbnut",2006,10,0.0227,0.0679,0.00745,0.0878,0.09525,4.801,0,0,0,0,0,0
"9529","grbgbnut",2006,11,0.017,0.05915,0.0061,0.12025,0.12635,1.567,0,0,0,0,0,0
"9530","grbgbnut",2007,4,0.0106,0.1083,0.00445,0.11195,0.1164,4.375,0,0,0,0,0,0
"9531","grbgbnut",2007,5,0.01055,0.01495,0.0035,0.1077,0.11315,9.475,0,0,1,0,0,0
"9532","grbgbnut",2007,6,0.0164,0.00675,0.003,NA,0.005,6.275,0,1,1,NA,1,0
"9533","grbgbnut",2007,7,0.01675,0.01435,0.0046,0.0106,0.0152,6.755,0,0,0,0,0,0
"9534","grbgbnut",2007,8,0.032,0.20525,0.003,NA,0.00735,3.81,0,0,1,NA,1,0
"9535","grbgbnut",2007,9,0.0293,0.09585,0.00405,0.0219,0.0265,2.3,0,0,1,0,0,0
"9536","grbgbnut",2007,10,0.02005,0.1366,0.00345,0.0291,0.0432,4.785,0,0,1,0,0,0
"9537","grbgbnut",2007,11,NA,0.0482,0.0073,0.1502,0.1575,2.495,NA,0,0,0,0,0
"9538","grbgbnut",2008,4,0.0079,0.0245,0.0035,0.059,0.058,3.675,0,0,1,0,0,0
"9539","grbgbnut",2008,5,0.01135,0.0825,0.0045,0.076,0.08,2.125,0,0,0,0,0,0
"9540","grbgbnut",2008,6,0.005,NA,0.003,NA,0.005,5.43,1,NA,1,NA,1,0
"9541","grbgbnut",2008,7,NA,0.0255,0.005,0.0255,0.0305,6.4,NA,0,0,0,0,0
"9542","grbgbnut",2008,8,0.0258,0.056,0.0055,0.0455,0.051,8.735,0,0,0,0,0,0
"9543","grbgbnut",2008,9,0.026,0.145,0.007,0.094,0.1015,3.605,0,0,0,0,0,0
"9544","grbgbnut",2008,10,0.01585,0.048,0.006,0.118,0.116,1.63,0,0,0,0,0,0
"9545","grbgbnut",2008,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9546","grbgbnut",2009,4,0.016,0.0785,NA,NA,0.0615,NA,0,0,NA,NA,0,NA
"9547","grbgbnut",2009,5,0.0165,0.023,NA,NA,0.0865,NA,0,0,NA,NA,0,NA
"9548","grbgbnut",2009,6,0.0203333333333333,0.0776666666666667,NA,NA,0.075,NA,0,0,NA,NA,0,NA
"9549","grbgbnut",2009,7,0.051,0.023,NA,NA,0.065,NA,0,0,NA,NA,0,NA
"9550","grbgbnut",2009,8,0.04,0.046,NA,NA,0.022,NA,0,0,NA,NA,0,NA
"9551","grbgbnut",2009,9,0.048,0.026,NA,NA,0.011,NA,0,0,NA,NA,0,NA
"9552","grbgbnut",2009,10,0.025,0.005,NA,NA,0.054,NA,0,1,NA,NA,0,NA
"9553","grbgbnut",2009,11,0.022,0.063,NA,NA,0.051,NA,0,0,NA,NA,0,NA
