"","station","year","month","po4f","nh4f","no2f","no3f","no23f","chla_n","po4f_cens","nh4f_cens","no2f_cens","no3f_cens","no23f_cens","chla_n_cens"
"17404","niwcbnut",2002,4,0.011,0.03305,NA,NA,0.0062,2.715,0,0,NA,NA,0,0
"17405","niwcbnut",2002,5,0.008825,0.0294,NA,NA,0.006125,3.6125,0,0,NA,NA,0,0
"17406","niwcbnut",2002,6,0.00945,0.0207,NA,NA,0.0042,4.725,0,0,NA,NA,0,0
"17407","niwcbnut",2002,7,0.01215,0.0417,NA,NA,0.0067,7.18,0,0,NA,NA,0,0
"17408","niwcbnut",2002,8,0.0185,0.07075,NA,NA,0.0069,9.465,0,0,NA,NA,0,0
"17409","niwcbnut",2002,9,0.012525,0.063375,NA,NA,0.0092,5.7475,0,0,NA,NA,0,0
"17410","niwcbnut",2002,10,0.01245,0.03835,NA,NA,0.0099,4.97,0,0,NA,NA,0,0
"17411","niwcbnut",2002,11,0.01205,0.028875,NA,NA,0.011625,1.715,0,0,NA,NA,0,0
"17412","niwcbnut",2002,12,0.00505,0.0264,NA,NA,0.0142,4.58,0,0,NA,NA,0,0
"17413","niwcbnut",2003,1,0.042625,0.016725,NA,NA,0.09155,2.695,0,0,NA,NA,0,0
"17414","niwcbnut",2003,2,0.06635,0.2247,NA,NA,0.10205,1.79,0,0,NA,NA,0,0
"17415","niwcbnut",2003,3,0.00675,0.044075,0.0028,0.02615,0.016125,2.2675,0,0,0,0,0,0
"17416","niwcbnut",2003,4,0.00725,0.05205,0.0043,0.0687,0.073,5.595,0,0,0,0,0,0
"17417","niwcbnut",2003,5,0.00865,0.05865,0.00195,0.009675,0.011625,11.1575,0,0,0,0,0,0
"17418","niwcbnut",2003,6,0.005,0.0148,0.0018,0.0078,0.0096,16.525,0,0,0,0,0,0
"17419","niwcbnut",2003,7,0.0122,0.09045,0.00375,0.02725,0.031,7.4,0,0,0,0,0,0
"17420","niwcbnut",2003,8,0.016575,0.057225,0.002825,0.0105,0.013325,15.745,0,0,0,0,0,0
"17421","niwcbnut",2003,9,0.01755,0.07445,0.0033,0.02515,0.02845,8.49,0,0,0,0,0,0
"17422","niwcbnut",2003,10,0.01075,0.0404,0.0025,0.0091,0.0116,3.14,0,0,0,0,0,0
"17423","niwcbnut",2003,11,0.0168,0.0586,0.0024,0.00875,0.01115,3.125,0,0,0,0,0,0
"17424","niwcbnut",2003,12,0.010725,0.013875,0.001275,0.000766666666666667,0.0018,1.78,0,0,0,0,0,0
"17425","niwcbnut",2004,1,0.0065,0.01435,9e-04,NA,0.0014,1.325,0,0,0,NA,1,0
"17426","niwcbnut",2004,2,0.0067,0.007125,0.001475,NA,0.002425,1.4325,0,0,0,NA,0,0
"17427","niwcbnut",2004,3,0.0069,0.00705,0.0016,NA,0.0028,3.37,0,0,0,NA,0,0
"17428","niwcbnut",2004,4,0.013875,0.0289,0.0023,NA,0.003075,4.47,0,0,0,NA,0,0
"17429","niwcbnut",2004,5,0.0153,0.0258,0.00385,0.00235,0.0062,6.13,0,0,0,0,0,0
"17430","niwcbnut",2004,6,0.023225,0.03705,0.0038,8e-04,0.005375,9.47,0,0,0,0,0,0
"17431","niwcbnut",2004,7,0.01625,0.0205,0.0042,NA,0.00445,14.54,0,0,0,NA,0,0
"17432","niwcbnut",2004,8,0.01795,0.0456,0.004475,0.00095,0.00565,6.8475,0,0,0,0,0,0
"17433","niwcbnut",2004,9,0.01735,0.0754,0.00655,NA,0.0133,3.075,0,0,0,NA,0,0
"17434","niwcbnut",2004,10,0.01205,0.044975,0.004675,NA,0.0081,3.3725,0,0,0,NA,0,0
"17435","niwcbnut",2004,11,0.01785,0.0373,0.00425,NA,0.0057,1.595,0,0,0,NA,0,0
"17436","niwcbnut",2004,12,0.01455,0.0236,0.002075,0.012475,0.01455,1.565,0,0,0,0,0,0
"17437","niwcbnut",2005,1,0.00605,0.03475,0.001625,NA,0.0027,0.895,0,0,0,NA,0,0
"17438","niwcbnut",2005,2,0.0072,0.0052,0.0014,0.00265,0.00405,1.415,0,1,0,0,0,0
"17439","niwcbnut",2005,3,0.00335,0.01215,0.0014,9e-04,0.0023,4.635,0,0,0,0,0,0
"17440","niwcbnut",2005,4,0.0062,0.034,0.002175,0.02635,0.01785,4.4375,0,0,0,0,0,0
"17441","niwcbnut",2005,5,0.0117,0.042125,0.002525,0.00265,0.006875,3.54,0,0,0,0,0,0
"17442","niwcbnut",2005,6,0.00855,0.0028,0.0022,0.0023,0.0045,12.45,0,1,0,0,0,0
"17443","niwcbnut",2005,7,0.018375,0.08675,0.0038,NA,0.01305,9.3,0,0,0,NA,0,0
"17444","niwcbnut",2005,8,0.0153,0.0396,0.0028,NA,0.0048,4.27,0,0,0,NA,0,0
"17445","niwcbnut",2005,9,0.0133,0.0416,0.002325,0.0029,0.006725,5.475,0,0,0,0,0,0
"17446","niwcbnut",2005,10,0.0157,0.0315,0.0021,0.0045,0.0066,2.77,0,0,0,0,0,0
"17447","niwcbnut",2005,11,0.015725,0.037225,0.002725,0.005,0.00935,1.9575,0,0,0,0,0,0
"17448","niwcbnut",2005,12,0.00945,0.0372,0.00265,NA,0.00835,0.955,0,0,0,NA,0,0
"17449","niwcbnut",2006,1,0.00985,0.024325,0.001725,0.00905,0.010775,4.5775,0,0,0,0,0,0
"17450","niwcbnut",2006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17451","niwcbnut",2006,3,0.008525,0.017925,0.001,0.00665,0.00615,NA,0,0,0,0,1,NA
"17452","niwcbnut",2006,4,0.0238,0.0669,0.0027,0.0077,0.0104,NA,0,0,0,0,0,NA
"17453","niwcbnut",2006,5,0.01045,0.0227,0.001625,0.00495,0.006575,NA,0,0,0,0,0,NA
"17454","niwcbnut",2006,6,0.01695,0.09575,0.00255,NA,0.00755,NA,0,0,0,NA,0,NA
