"","station","year","month","po4f","nh4f","no2f","no3f","no23f","chla_n","po4f_cens","nh4f_cens","no2f_cens","no3f_cens","no23f_cens","chla_n_cens"
"20097","pdbbpnut",2002,2,0.0658,0.0183,0.0033,0.3536,0.3569,0.42,0,0,0,0,0,0
"20098","pdbbpnut",2002,3,0.053,0.0171,0.0034,0.2733,0.2767,1.76,0,0,0,0,0,0
"20099","pdbbpnut",2002,4,0.0451,0.02295,0.00275,0.14485,0.1476,1.79,0,0,0,0,0,0
"20100","pdbbpnut",2002,5,0.0319,0.0218,0.0012,0.0293,0.0305,1.3,0,0,0,0,0,0
"20101","pdbbpnut",2002,6,0.02445,0.01545,5e-04,0.00325,0.00375,6.67,0,0,0,0,0,0
"20102","pdbbpnut",2002,7,0.0407,0.0244,0.001,0.0131,0.0141,2.11,0,0,0,0,0,0
"20103","pdbbpnut",2002,8,0.0373,0.03225,0.00185,0.01645,0.0183,3.595,0,0,0,0,0,0
"20104","pdbbpnut",2002,9,0.0364,0.02565,0.00335,0.04655,0.0499,2.955,0,0,0,0,0,0
"20105","pdbbpnut",2002,10,0.06065,0.0334,0.0063,0.22705,0.23335,1.11,0,0,0,0,0,0
"20106","pdbbpnut",2002,11,0.0718,0.0338,0.0067,0.3759,0.3826,1.14,0,0,0,0,0,0
"20107","pdbbpnut",2002,12,0.076,0.019,0.0045,0.4035,0.408,0.56,0,0,0,0,0,0
"20108","pdbbpnut",2003,1,0.0697,0.0233,0.0039,0.3702,0.3741,0.56,0,0,0,0,0,0
"20109","pdbbpnut",2003,2,0.06435,0.01615,0.0039,0.34565,0.34955,1,0,0,0,0,0,0
"20110","pdbbpnut",2003,3,0.061,0.0203,0.0043,0.2875,0.2918,0.72,0,0,0,0,0,0
"20111","pdbbpnut",2003,4,0.0449,0.01715,0.0022,0.1246,0.06515,1.475,0,0,0,0,1,0
"20112","pdbbpnut",2003,5,0.0412,0.0199,0.0025,0.0715,0.074,0.49,0,0,0,0,0,0
"20113","pdbbpnut",2003,6,0.0546,0.0091,0.00085,0.00325,0.0041,3.665,0,0,0,0,0,0
"20114","pdbbpnut",2003,7,0.0355,0.01045,0.0011,0.0198,0.01185,7.965,0,0,0,0,1,0
"20115","pdbbpnut",2003,8,0.03955,0.0091,0.00125,0.0269,0.02815,6.025,0,0,0,0,0,0
"20116","pdbbpnut",2003,9,0.0444,0.0205,0.00425,0.11755,0.1218,1.795,0,0,0,0,0,0
"20117","pdbbpnut",2003,10,0.065,0.0288666666666667,0.00566666666666667,0.239866666666667,0.245533333333333,2.09666666666667,0,0,0,0,0,0
"20118","pdbbpnut",2003,11,0.075,0.0183,0.0066,0.3434,0.35,0.14,0,0,0,0,0,0
"20119","pdbbpnut",2003,12,0.07335,0.0358,0.0051,0.38515,0.39025,0.38,0,0,0,0,0,0
"20120","pdbbpnut",2004,1,0.074,0.01775,0.0034,0.3761,0.3795,0.305,0,0,0,0,0,0
"20121","pdbbpnut",2004,2,0.0729,0.0108,0.0035,0.3866,0.3901,0.72,0,0,0,0,0,0
"20122","pdbbpnut",2004,3,0.0483333333333333,0.0242333333333333,0.00346666666666667,0.200966666666667,0.204433333333333,1.71333333333333,0,0,0,0,0,0
"20123","pdbbpnut",2004,4,0.02755,0.0085,0.0013,0.0413,0.0426,5.2,0,0,0,0,0,0
"20124","pdbbpnut",2004,5,0.04,0.0127,0.00165,0.01055,0.0122,1.78,0,0,0,0,0,0
"20125","pdbbpnut",2004,6,0.04855,0.0129,0.0015,0.0122,0.00795,2.33,0,0,0,0,1,0
"20126","pdbbpnut",2004,7,0.04055,0.0116,0.001,NA,0.0021,3.285,0,0,0,NA,1,0
"20127","pdbbpnut",2004,8,0.0575,0.01185,0.0016,0.004,0.00655,1.275,0,0,0,0,0,0
"20128","pdbbpnut",2004,9,0.0419,0.0254,0.0034,8e-04,0.0466,1.11,0,0,0,0,0,0
"20129","pdbbpnut",2004,10,0.054,0.0321,0.0049,0.0012,0.17875,1.515,0,0,0,0,0,0
"20130","pdbbpnut",2004,11,0.07065,0.02625,0.0068,0.3217,0.3285,0.85,0,0,0,0,0,0
"20131","pdbbpnut",2004,12,0.0732,0.0167,0.0046,0.3258,0.3304,0.265,0,0,0,0,0,0
"20132","pdbbpnut",2005,1,0.0639,0.0358,0.0044,0.3914,0.3958,0.16,0,0,0,0,0,0
"20133","pdbbpnut",2005,2,0.0647,0.01935,0.0043,0.3304,0.3347,0.67,0,0,0,0,0,0
"20134","pdbbpnut",2005,3,0.04835,0.0131,0.00355,0.1892,0.19275,1.43,0,0,0,0,0,0
"20135","pdbbpnut",2005,4,0.0282,0.034,0.001,NA,0.0021,1.83,0,0,0,NA,1,0
"20136","pdbbpnut",2005,5,0.04335,0.0113,8e-04,0.0046,0.00375,2.86,0,0,0,0,1,0
"20137","pdbbpnut",2005,6,0.0456,0.01685,0.00105,0.0111,0.00725,2.545,0,0,0,0,1,0
"20138","pdbbpnut",2005,7,0.04845,0.0167,0.0032,0.0472,0.0259,3.65,0,0,0,0,1,0
"20139","pdbbpnut",2005,8,0.0569,0.01205,0.00155,0.02015,0.0217,5.095,0,0,0,0,0,0
"20140","pdbbpnut",2005,9,0.05295,0.02405,0.00335,0.091,0.09435,2.86,0,0,0,0,0,0
"20141","pdbbpnut",2005,10,0.05875,0.0302,0.00585,0.20205,0.2079,1.3,0,0,0,0,0,0
"20142","pdbbpnut",2005,11,0.07195,0.01965,0.0057,0.3846,0.3903,0.64,0,0,0,0,0,0
"20143","pdbbpnut",2005,12,0.0746,0.0211,0.0043,0.3508,0.3551,0.94,0,0,0,0,0,0
"20144","pdbbpnut",2006,1,0.075625,0.017325,0.003775,0.384025,0.3878,0.4225,0,0,0,0,0,0
"20145","pdbbpnut",2006,2,0.06955,0.03095,0.0032,0.38705,0.39025,0.49,0,0,0,0,0,0
"20146","pdbbpnut",2006,3,0.03485,0.01215,0.002225,0.119975,0.1222,1.585,0,0,0,0,0,0
"20147","pdbbpnut",2006,4,0.033575,0.02515,0.0014,0.03205,0.03345,2.455,0,0,0,0,0,0
"20148","pdbbpnut",2006,5,0.05065,0.014,0.001475,0.027475,0.02895,3.325,0,0,0,0,0,0
"20149","pdbbpnut",2006,6,0.0463,0.006975,0.0016,0.0489666666666667,0.043075,11.43,0,0,1,0,0,0
"20150","pdbbpnut",2006,7,0.057925,0.01245,0.001175,0.0208,0.021975,5.74,0,0,0,0,0,0
