"","station","year","month","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totprcp_nValid","totprcp_total","dailyPAR_nValid","dailyPAR_min","dailyPAR_median","dailyPAR_max","dailyPAR_mean","dailyPAR_sd","dailyPAR_iqr"
"4957","rkbhcmet",2002,1,2976,2.7,19.2,30,18.8238911290323,5.507381489495,5.8,2976,35,85,98,80.908938172043,14.6902165150381,25,2976,1011,1021,1029,1020.51579301075,3.03764934154406,4,2976,0.2,1.4,8.8,1.63198924731183,1.24024050577025,1.5,NA,NA,NA,NA,NA,NA,NA,2976,0,150,355,155.000336021505,85.6435666240537,123,2976,27.9,0,NA,NA,NA,NA,NA,NA
"4958","rkbhcmet",2002,2,2688,4.1,18.8,29.2,18.8472842261905,4.35213674212168,6,2688,38,80,97,75.9862351190476,15.869050223796,25,2688,1008,1021,1025,1020.15625,2.93385554750927,3,2688,0.2,1.7,9.1,1.86685267857143,1.27698655759454,1.6,NA,NA,NA,NA,NA,NA,NA,2688,0,109,355,125.09412202381,81.4818680575873,104,2688,64.4,0,NA,NA,NA,NA,NA,NA
"4959","rkbhcmet",2002,3,2976,7.9,21.8,32.8,22.1242943548387,4.47330432708729,7.1,2976,37,80,97,77.0436827956989,14.4131396778645,25,2976,1014,1019,1030,1019.59811827957,2.91984513589366,4,2976,0.2,1.9,8.9,2.09385080645161,1.45639101197124,2,NA,NA,NA,NA,NA,NA,NA,2976,0,157,355,165.707325268817,87.0351113932186,125,2976,18.8,0,NA,NA,NA,NA,NA,NA
"4960","rkbhcmet",2002,4,2880,15.7,23.8,34,24.1534722222222,4.11916307497888,7.5,2880,32,76,97,74.5458333333333,15.9847307959057,29,2880,1015,1019,1024,1019.315625,2.11283782297732,3,2880,0.2,1.5,8.4,1.88486111111111,1.36445472436429,2,NA,NA,NA,NA,NA,NA,NA,2880,0,162,355,167.165972222222,87.5736273671412,95,2880,46.6,0,NA,NA,NA,NA,NA,NA
"4961","rkbhcmet",2002,5,2976,17.9,25.9,34.2,25.9501344086021,4.01969688000704,7.6,2976,37,73,97,72.6633064516129,15.4214151337537,27,2976,1008,1017,1023,1016.69489247312,3.45297155503237,5,2976,0.2,1.9,10.1,2.06189516129032,1.37689687783742,2,NA,NA,NA,NA,NA,NA,NA,2976,0,159,355,175.883400537634,83.1369802941655,105,2976,59.9,0,NA,NA,NA,NA,NA,NA
"4962","rkbhcmet",2002,6,2880,20.8,25.6,35.9,26.2676041666667,3.0906242305293,5.2,2880,39,88,97,83.6652777777778,12.4773824942107,21,2880,1011,1016,1022,1016.14236111111,2.97725731387813,5,2880,0.2,1.4,8.3,1.66395833333333,1.23326855493291,1.5,NA,NA,NA,NA,NA,NA,NA,2880,0,171,354,184.960069444444,78.1134994352505,107,2880,334.7,0,NA,NA,NA,NA,NA,NA
"4963","rkbhcmet",2002,7,2976,21.7,26.7,35.4,27.4760416666667,3.35731093729667,6.1,2976,48,85,98,81.7822580645161,13.3554747937562,26,2976,1014,1019,1022,1018.75470430108,1.56955639397802,2,2976,0.2,1.1,7.8,1.38128360215054,1.08841840333543,1.5,NA,NA,NA,NA,NA,NA,NA,2976,0,172,355,183.314852150538,93.1777590650338,131,2976,190,0,NA,NA,NA,NA,NA,NA
"4964","rkbhcmet",2002,8,2976,22,26,35,27.1422715053763,3.44862619070766,6.5,2976,39,89,98,82.448252688172,14.15885898306,26,2976,1011,1017,1023,1017.16061827957,2.30827699300266,4,2976,0.2,1.3,6.3,1.44032258064516,1.10148887631526,1.4,NA,NA,NA,NA,NA,NA,NA,2976,0,162,355,170.830309139785,77.6794086168533,73,2976,84.3,0,NA,NA,NA,NA,NA,NA
"4965","rkbhcmet",2002,9,2880,22.1,26.1,33.7,27.1043055555556,2.94956132114369,5.3,2880,49,91,98,85.5586805555556,12.1185541620915,21,2880,1008,1014,1021,1014.00972222222,2.32820480403024,4,2880,0.2,1.4,22.3,1.70482638888889,1.37400352767324,1.5,NA,NA,NA,NA,NA,NA,NA,2880,0,178,354,187.755555555556,67.2186375040099,73.25,2880,170.8,0,NA,NA,NA,NA,NA,NA
"4966","rkbhcmet",2002,10,2976,17.5,25.3,34.9,26.0702956989247,3.45198294686893,5.9,2976,37,85,98,81.2174059139785,14.2952814495636,26,2976,1006,1016,1021,1015.80275537634,2.4967351727799,2,2976,0.2,1.3,6.1,1.4309811827957,1.07272425285858,1.6,NA,NA,NA,NA,NA,NA,NA,2976,0,157,354,163.665994623656,85.1163672035805,92,2976,70.1,0,NA,NA,NA,NA,NA,NA
