"","station","year","month","po4f","nh4f","no2f","no3f","no23f","chla_n","po4f_cens","nh4f_cens","no2f_cens","no3f_cens","no23f_cens","chla_n_cens"
"21277","rkbfbnut",2002,2,0.0085,0.0029,0.002,0,0.00215,2.22,0,1,0,0,1,0
"21278","rkbfbnut",2002,3,0.0195,0.0065,0.001,0.003,0.004,3.64,0,0,0,0,0,0
"21279","rkbfbnut",2002,4,0.01,0.008,0.00115,0.002,0.0045,1.855,0,0,1,0,0,0
"21280","rkbfbnut",2002,5,9e-04,0.0055,0.00215,0,0.00265,1.665,1,0,1,0,1,0
"21281","rkbfbnut",2002,6,0.005,0.04,0.005,0.0205,0.0255,7.27,0,0,0,0,0,0
"21282","rkbfbnut",2002,7,0.0065,0.0075,0.002,0.0035,0.0055,0.98,0,0,0,0,0,0
"21283","rkbfbnut",2002,8,0.011,0.0018,0.00315,0.008,0.0135,9.275,0,1,1,0,0,0
"21284","rkbfbnut",2002,9,0.008,0.033,0.005,0.005,0.01,8.375,0,0,0,0,0,0
"21285","rkbfbnut",2002,10,0.018,0.037,0.00365,0,0.0095,7.87,0,0,1,0,0,0
"21286","rkbfbnut",2002,11,0.0035,0.0029,0.00365,0.008,0.0155,4.58,0,1,1,0,0,0
"21287","rkbfbnut",2002,12,0.013,0.015,0.003,0.009,0.012,3.295,0,0,0,0,0,0
"21288","rkbfbnut",2003,1,0.009,0.042,0.002,0.02,0.022,1.69,0,0,0,0,0,0
"21289","rkbfbnut",2003,2,0.005,0.053,0.001,0.003,0.004,4.88,0,0,0,0,0,0
"21290","rkbfbnut",2003,3,0.007,0.079,0.002,0.003,0.005,3.38,0,0,0,0,0,0
"21291","rkbfbnut",2003,4,0.027,0.049,0.004,0.008,0.012,2.02,0,0,0,0,0,0
"21292","rkbfbnut",2003,5,0.016,0.005,0.002,0.001,0.003,8.55,0,0,0,0,0,0
"21293","rkbfbnut",2003,6,0.023,0.014,0.001,0.009,0.01,6.97,0,0,0,0,0,0
"21294","rkbfbnut",2003,7,0.013,0.028,0.003,0.001,0.004,4.89,0,0,0,0,0,0
"21295","rkbfbnut",2003,8,0.005,0.033,0.007,0.003,0.01,7.22,0,0,0,0,0,0
"21296","rkbfbnut",2003,9,0.024,0.067,0.001,0.009,0.01,1.85,0,0,0,0,0,0
"21297","rkbfbnut",2003,10,0.008,0.028,0.004,0.005,0.009,4.3,0,0,0,0,0,0
"21298","rkbfbnut",2003,11,0.012,0.028,0.002,0.011,0.013,3.82,0,0,0,0,0,0
"21299","rkbfbnut",2003,12,0.007,0.012,0.001,0.008,0.009,3.26,0,0,0,0,0,0
"21300","rkbfbnut",2004,1,0.017,0.118,0.003,0.033,0.036,2.76,0,0,0,0,0,0
"21301","rkbfbnut",2004,2,0.01,0.049,0.002,0.007,0.009,3.7,0,0,0,0,0,0
"21302","rkbfbnut",2004,3,0.006,0.057,0.001,0.01,0.011,3.68,0,0,0,0,0,0
"21303","rkbfbnut",2004,4,0.012,0.011,0.001,0.003,0.004,2.53,0,0,0,0,0,0
"21304","rkbfbnut",2004,5,0.006,0.0036,0.001,NA,0.0017,2.15,0,1,0,NA,1,0
"21305","rkbfbnut",2004,6,0.005,0.0036,3e-04,NA,0.002,5.5,0,1,1,NA,0,0
"21306","rkbfbnut",2004,7,0.004,0.004,0.001,0.002,0.003,6.71,0,0,0,0,0,0
"21307","rkbfbnut",2004,8,0.01,0.07,0.004,0.02,0.024,6.54,0,0,0,0,0,0
"21308","rkbfbnut",2004,9,0.004,0.044,0.005,0.022,0.027,5.7,0,0,0,0,0,0
"21309","rkbfbnut",2004,10,0.0065,0.0075,0.0035,0.0105,0.014,4.205,0,0,0,0,0,0
"21310","rkbfbnut",2004,11,0.0045,0.0345,0.005,0.0095,0.0145,2.32,0,0,0,0,0,0
"21311","rkbfbnut",2004,12,0.0135,0.0036,0.0015,0.0035,0.005,5.295,0,1,0,0,0,0
"21312","rkbfbnut",2005,1,0.0125,0.014,0.0025,0.002,0.0045,2.21,0,0,0,0,0,0
"21313","rkbfbnut",2005,2,0.0125,0.00575,0.001,0.002,0.0025,2.165,0,1,0,0,1,0
"21314","rkbfbnut",2005,3,0.0145,0.0145,0.001,0.0055,0.0065,5.25,0,0,0,0,0,0
"21315","rkbfbnut",2005,4,0.009,0.0095,0.00065,0.002,0.003,2.67,0,0,1,0,0,0
"21316","rkbfbnut",2005,5,0.0125,0.006,0.001,NA,0.002,3.69,0,0,0,NA,1,0
"21317","rkbfbnut",2005,6,0.0065,0.0045,0.001,NA,0.002,12.42,0,1,0,NA,1,0
"21318","rkbfbnut",2005,7,0.004,0.04,0.004,0.008,0.012,10.015,0,0,0,0,0,0
"21319","rkbfbnut",2005,8,0.0045,0.014,0.0025,0.0055,0.008,4.705,0,0,0,0,0,0
"21320","rkbfbnut",2005,9,0.014,0.0325,0.0075,0.002,0.0095,4.655,0,0,0,0,0,0
"21321","rkbfbnut",2005,10,0.0055,0.007,3e-04,NA,0.0125,7.01,0,0,1,NA,0,0
"21322","rkbfbnut",2005,11,0.0115,0.0135,0.001,0.0145,0.0155,6.045,0,0,0,0,0,0
"21323","rkbfbnut",2005,12,0.016,0.0135,0.001,0.012,0.013,3.185,0,0,0,0,0,0
"21324","rkbfbnut",2006,1,0.022,0.026,0.001,0.01,0.011,2.46,0,0,0,0,0,0
"21325","rkbfbnut",2006,2,0.028,0.008,0.0015,0.0025,0.004,3.165,0,0,0,0,0,0
"21326","rkbfbnut",2006,3,0.018,0.0215,0.0015,0.005,0.0065,3.69,0,0,0,0,0,0
"21327","rkbfbnut",2006,4,0.02,0.00475,3e-04,NA,0.002,1.685,0,1,1,NA,1,0
"21328","rkbfbnut",2006,5,0.0145,0.0045,3e-04,NA,0.002,2.315,0,1,1,NA,0,0
"21329","rkbfbnut",2006,6,0.006,0.0045,0.001,0.001,0.002,6.72,0,1,0,0,0,0
"21330","rkbfbnut",2006,7,0.047,0.0715,0.003,0.0265,0.0295,6.755,0,0,0,0,0,0
"21331","rkbfbnut",2006,8,0.017,0.0275,0.002,0.018,0.02,4.4,0,0,0,0,0,0
"21332","rkbfbnut",2006,9,0.0185,0.07,0.003,0.003,0.006,6.095,0,0,0,0,0,0
"21333","rkbfbnut",2006,11,0.0095,0.033,0.002,0.025,0.027,1.995,0,0,0,0,0,0
"21334","rkbfbnut",2007,1,0.0135,0.0175,0.0065,0.02,0.0265,7.4,0,0,0,0,0,0
"21335","rkbfbnut",2007,2,0.0085,0.016,0.001,0.0055,0.0065,0.2,0,0,0,0,0,0
"21336","rkbfbnut",2007,3,0.0055,0.0057,0.00065,0.003,0.0035,1.5,0,1,1,0,0,0
"21337","rkbfbnut",2007,4,0.008,0.0057,0.001,NA,0.0024,4.85,0,1,0,NA,1,0
"21338","rkbfbnut",2007,5,0.0215,0.008,0.001,NA,0.0024,2.4,0,0,0,NA,1,0
"21339","rkbfbnut",2007,6,0.027,0.027,0.003,0.0025,0.0055,3.85,0,0,0,0,0,0
"21340","rkbfbnut",2007,7,0.0205,0.0057,0.001,0.002,0.003,8.55,0,1,0,0,0,0
"21341","rkbfbnut",2007,8,0.0125,0.007,0.001,0.0105,0.0115,3.65,0,0,0,0,0,0
"21342","rkbfbnut",2007,9,0.0145,0.0245,0.002,0.0015,0.0035,4.3,0,0,0,0,0,0
"21343","rkbfbnut",2007,10,0.0085,0.0345,0.003,0.014,0.017,20.2,0,0,0,0,0,0
"21344","rkbfbnut",2007,11,0.025,0.056,0.003,0.012,0.015,3.8,0,0,0,0,0,0
"21345","rkbfbnut",2007,12,0.0095,0.0057,0.001,0.002,0.0027,7.25,0,1,0,0,1,0
"21346","rkbfbnut",2008,1,0.0245,0.00545,0.002,NA,0.0039,10.27,0,1,0,NA,1,0
"21347","rkbfbnut",2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21348","rkbfbnut",2008,3,0.023,0.0565,0.002,0.0085,0.0105,3.23,0,0,0,0,0,0
"21349","rkbfbnut",2008,4,0.015,0.012,0.002,NA,0.0039,6.04,0,0,0,NA,1,0
"21350","rkbfbnut",2008,5,0.019,0.005,0.001,0.004,0.005,4.56,0,0,0,0,0,0
"21351","rkbfbnut",2008,6,0.0085,0.0049,8e-04,NA,0.0039,5.7,0,1,1,NA,1,0
"21352","rkbfbnut",2008,7,0.014,0.007,0.0015,0.0115,0.013,9.93,0,0,0,0,0,0
"21353","rkbfbnut",2008,8,0.012,0.086,0.005,0.021,0.026,4.86,0,0,0,0,0,0
