"","station","year","month","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr"
"19858","rkbfbwq",2002,1,1478,13.3,21.8,29.9,21.8581190798376,4.07512871569143,6.9,1478,0.37,41.54,48.14,40.2518470906631,5.84450170453401,4.565,1478,0.2,26.6,31.4,25.7792286874154,4.02496376689063,3.2,1478,35.6,90.4,129.8,89.0924898511502,16.5866418228121,22.1,1478,2.8,6.7,11.1,6.78504736129905,1.46459445947594,1.975,1415,0,0.51,1.24,0.515236749116608,0.284783219484136,0.44,0,NA,NA,NA,NA,NA,NA,1478,7.3,7.8,8.1,7.78599458728011,0.163947759808754,0.2,1478,2,10,49,11.6583220568336,7.10880963550054,8,1478,0,1478,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19859","rkbfbwq",2002,2,1340,16.4,22.2,29.9,22.3590298507463,2.20554680252707,2.3,1340,26.76,46.61,48.94,45.7826791044776,2.54635490211776,2.3,1340,16.4,30.3,32,29.7172388059701,1.82801854954001,1.7,1340,45.2,91.6,148.7,92.7541791044776,16.9466647104181,23.2,1340,3.4,6.8,10.6,6.7905223880597,1.22938554703049,1.6,1310,0,0.495,1.32,0.494916030534351,0.288542795466115,0.48,0,NA,NA,NA,NA,NA,NA,1340,7.3,7.9,8.1,7.84134328358209,0.13958645335716,0.100000000000001,1340,3,9,67,11.2716417910448,6.13777115842337,6,1340,0,1340,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19860","rkbfbwq",2002,3,967,15.2,24.8,29.6,23.8720785935884,3.68703538632143,5.6,967,9.1,49.56,52.5,49.3814167528438,2.63773123053957,2.525,967,5.1,32.4,34.6,32.2975180972079,1.84047377874889,1.7,967,52.8,89.1,131,88.3724922440538,15.9074870809806,25.85,967,3.5,6.4,9.7,6.22936918304033,1.20012331802595,1.9,931,0,0.45,1.25,0.461987110633727,0.277455845262349,0.46,0,NA,NA,NA,NA,NA,NA,967,7.3,7.8,8,7.78976215098242,0.115149759786138,0.2,967,5,10,84,12.2947259565667,6.82136783293447,5,967,0,967,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19861","rkbfbwq",2002,4,1004,22.4,26.3,30,26.446812749004,1.62260938526356,2.6,1004,0.11,55.35,56.83,54.7273207171315,3.14395276297238,1.37250000000001,1004,0.1,36.7,37.7,36.2155378486056,2.16310437749037,1.1,1004,26.7,74.5,117.9,73.2192231075697,20.5615099620205,32.7,1004,1.8,4.9,7.7,4.81842629482072,1.36267328370064,2.2,918,0,0.45,1.06,0.465152505446623,0.266370918752135,0.43,0,NA,NA,NA,NA,NA,NA,1004,7.4,7.8,8,7.8105577689243,0.111493476327593,0.100000000000001,1003,5,11,73,11.7686939182453,5.38778993912871,4,1004,3,1004,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19862","rkbfbwq",2002,5,1073,23.6,27.7,31.2,27.5908667287978,1.78028446440445,2.6,1072,5.9,56.84,60.07,57.2040111940299,2.28063085115493,2.795,1072,3.2,37.8,40.2,38.0295708955224,1.61563688436521,2.1,1073,28.4,74.8,117.1,76.5377446411929,19.8664778345434,32.4,1073,1.9,4.8,7.2,4.87418452935694,1.20873488795103,2,1031,0,0.52,1.31,0.526285160038797,0.308840412119597,0.49,0,NA,NA,NA,NA,NA,NA,1073,7.2,7.6,8,7.65284249767008,0.179379710615005,0.3,1065,9,20,324,30.3492957746479,23.8244689636956,22,1073,3,1073,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19863","rkbfbwq",2002,6,1391,25.1,28.6,32.1,28.5844716031632,1.40431108756851,1.8,1391,0.13,41.08,58.44,43.1896621135873,12.4888527832858,23.705,1391,0.1,26.3,38.9,27.9173975557153,8.87649304410135,17,1382,11.1,63.9,123.2,63.6856005788712,19.7911562299383,25.375,1382,0.8,4.2,8,4.20144717800289,1.2175393049885,1.6,1346,-0.02,0.52,1.15,0.516604754829123,0.286511103516672,0.47,0,NA,NA,NA,NA,NA,NA,1391,6.7,7.6,8,7.55442127965492,0.228838652483778,0.3,1322,3,12,727,15.143721633888,30.2118521905797,6,1382,47,1382,1028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19864","rkbfbwq",2002,7,1416,25.8,30.8,35.6,30.6526836158192,1.7816357676765,2.3,1416,0.5,24.115,30.46,23.0710098870057,4.13697764893004,4.9825,1416,0.2,14.5,18.7,13.8691384180791,2.67985302968009,3.3,1229,11.7,56.9,124.1,58.6544344995932,19.6424730992818,26.4,1229,0.9,4,8,4.06655817737998,1.28802285834687,1.8,1376,0,0.44,1.13,0.446991279069767,0.277803519704581,0.47,0,NA,NA,NA,NA,NA,NA,1416,7.1,7.7,8.3,7.65367231638418,0.196292318171153,0.3,1390,3,12,777,13.3676258992806,28.4571741080958,6,1229,53,1229,923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19865","rkbfbwq",2002,8,1487,27.8,30.4,34.5,30.5771351714862,1.19431769148899,1.3,1487,7.21,28.22,37.19,28.3227034297243,5.32533771303585,7.745,1487,4,17.3,23.4,17.3764626765299,3.55801147013148,5.2,1446,8.6,54.4,109.8,56.5427385892116,19.7490059975904,27.875,1446,0.6,3.7,7.3,3.8423928077455,1.30172398885983,1.9,350,0,0.56,1.42,0.574314285714286,0.316467724598005,0.45,0,NA,NA,NA,NA,NA,NA,1487,7.2,7.7,8,7.65985205110962,0.132002812715363,0.100000000000001,1474,6,19,285,30.0230664857531,26.8999455595404,14,1446,92,1446,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19866","rkbfbwq",2002,9,1423,26.1,30.3,33.6,30.1463106113844,1.16795532527976,1.6,1423,3.12,20.25,29.98,19.8915038650738,5.26635783836095,7.59,1423,1.6,12,18.5,11.8323963457484,3.3657617249402,4.9,1379,10.9,54.7,102.2,56.4027556200145,18.8965580283373,29.85,1379,0.8,3.9,7.2,3.98527918781726,1.31235370807151,2,468,0,0.42,0.92,0.414871794871795,0.243204394558428,0.39,0,NA,NA,NA,NA,NA,NA,1423,7.2,7.7,8,7.64736472241743,0.162322320277846,0.3,1121,4,14,169,24.64317573595,28.9951238248776,9,1379,66,1379,1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19867","rkbfbwq",2002,10,1370,25.5,29.9,33.4,29.6533576642336,1.76211854421737,2.2,1370,3.69,33.75,39.12,32.633,4.92927365496401,4.3875,1370,1.9,21.1,24.8,20.3178832116788,3.31224920340755,3,1223,11.5,70.6,133.7,70.8618969746525,17.9770840761609,24.85,1223,0.8,4.8,8.8,4.83058053965658,1.20756490570353,1.65,1314,-0.01,0.57,1.41,0.594779299847793,0.350829922359343,0.52,0,NA,NA,NA,NA,NA,NA,1223,7.3,7.7,8.1,7.71757972199509,0.144092725581664,0.2,1221,3,18,130,34.2244062244062,29.8034890780427,47,1223,15,1223,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
