"","station","year","month","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr"
"22715","soschwq",2002,4,543,8.2,10.6,14.4,10.6749539594843,1.31100886045583,1.7,543,29.02,45.3,52.59,44.5459668508287,6.02792120657693,8.565,543,18,29.2,34.3,28.6950276243094,4.2093895602231,6.04999999999999,543,57,91.3,113.7,89.9887661141805,11.9701027836789,15.45,543,5.4,8.5,10.4,8.33186003683241,1.05391452821028,1.4,543,0.19,1.97,3.44,1.8914364640884,0.764481204543088,1.19,0,NA,NA,NA,NA,NA,NA,543,7.7,7.9,8.1,7.92154696132597,0.110666385997858,0.2,302,NA,NA,NA,NA,NA,NA,543,0,543,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22716","soschwq",2002,5,1440,8.4,11.9,16.2,11.9372916666667,1.68698312033566,2.6,1440,41.42,49.125,53.34,48.9990833333333,2.60045096719791,3.615,1440,26.6,32.1,34.8,31.9233333333333,1.83362842193152,2.6,1440,63.7,102.6,151.9,103.417152777778,14.9807327340738,21.225,1440,5.5,9.1,13.4,9.1375,1.29377485305447,1.8,1440,0.13,1.96,3.45,1.89925694444444,0.705269604746384,1.03,0,NA,NA,NA,NA,NA,NA,1440,7.7,8,8.4,8.01131944444444,0.136229104984439,0.199999999999999,1075,0,3,121,5.3246511627907,11.4899233945591,2,1440,0,1440,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22717","soschwq",2002,6,1392,9.5,13.4,17.2,13.3152298850575,1.79190148903224,3,1392,45.8,49.91,52.57,49.8068031609195,1.43857337922302,2.16,1392,29.7,32.7,34.4,32.5599856321839,0.988190948824704,1.4,1382,38.2,100.65,156,102.351808972504,17.9552910533954,24,1382,3.2,8.7,12.7,8.76063675832127,1.53732669961724,2.075,1392,0.2,1.98,3.38,1.91254310344828,0.716866633013595,1,0,NA,NA,NA,NA,NA,NA,1392,7.5,8,8.3,7.95919540229885,0.133099690347148,0.199999999999999,1367,1,4,145,8.22457937088515,14.1551757353085,4,1382,0,1382,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22718","soschwq",2002,7,1388,8.8,13.4,18.4,13.2599423631124,2.28391017924117,3.7,1383,46.4,50.81,54.22,50.9169775849602,1.65923826225467,2.11,1383,30.2,33.2,35.6,33.3624728850325,1.16580014283502,1.6,1388,51.2,98.75,175.8,103.211239193084,22.8683770957612,30.85,1388,4.6,8.4,14,8.78206051873199,1.86456411960118,2.5,1388,0.37,1.83,3.25,1.80977665706052,0.610222122478834,0.8425,0,NA,NA,NA,NA,NA,NA,1388,7.4,7.9,8.4,7.95259365994236,0.16521743516539,0.3,1379,1,4,143,7.70413343002175,13.7031901839958,4,1388,0,1388,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22719","soschwq",2002,8,1439,8.7,12.5,16.7,12.571021542738,1.95669415482595,3.2,1439,51.29,52.64,54.25,52.7227102154274,0.704013543656781,1.15000000000001,1439,33.7,34.5,35.6,34.6591382904795,0.468594598889722,0.800000000000004,1439,43.1,99.9,175.9,101.412091730368,21.6753532503726,30.55,1439,3.6,8.6,14.9,8.6907574704656,1.81203423335083,2.5,1439,0.13,1.92,3.29,1.8874148714385,0.681747725031307,1.02,0,NA,NA,NA,NA,NA,NA,1439,7.3,7.9,8.3,7.92084781097985,0.160654445793238,0.2,632,1,4,79,4.66139240506329,6.35399695447191,1,1439,0,1439,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22720","soschwq",2002,9,1358,9.5,12.3,16.7,12.3751104565538,1.71567800576854,2.8,1358,49.71,51.64,52.73,51.5783136966127,0.547628799159889,0.7575,1358,32.6,33.9,34.5,33.8145802650957,0.343452614513905,0.399999999999999,1358,67.2,89.2,129.9,90.9872606774669,10.7365637993691,13.5,1358,5.7,7.7,10.9,7.87496318114875,0.908231718750252,1,1358,0.3,1.99,3.31,1.94592783505155,0.684387736599106,1.0975,0,NA,NA,NA,NA,NA,NA,1358,7.5,7.9,8.2,7.88254786450663,0.134302379902453,0.2,1243,1,3,33,3.24296057924377,1.90359984112405,2,1358,0,1358,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22721","soschwq",2002,10,1425,8.6,10.2,13.9,10.4237192982456,1.13669584728769,1.7,1425,49.31,51.62,52.53,51.5314456140351,0.596600753682312,0.82,1425,32.2,33.7,34.3,33.6781754385965,0.373875895842216,0.5,1425,52.1,89.8,126.9,88.2658245614035,13.1381511335486,17.9,1425,4.9,8.1,10.8,7.95782456140351,1.11668124624556,1.5,1425,0.06,1.85,3.26,1.77176140350877,0.692370581179921,1.07,0,NA,NA,NA,NA,NA,NA,1425,7.5,7.8,8,7.76919298245614,0.11078617149002,0.0999999999999996,1296,1,3,71,2.98688271604938,3.26473813079728,1,1425,0,1425,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22722","soschwq",2002,11,1398,8.1,11.9,13.5,11.3894849785408,1.29755991173493,1.775,1398,44.42,49.35,52.45,49.2568383404864,1.72298629269886,2.0525,1398,28.6,32.2,34.2,32.0827610872675,1.19640793270866,1.5,1398,65.6,93.55,111,92.7580829756795,8.78938660353554,12.775,1398,5.8,8.4,10.1,8.28469241773963,0.765221307245172,1.1,1393,0.03,1.92,3.43,1.84611629576454,0.715367485118264,1.06,0,NA,NA,NA,NA,NA,NA,773,7.6,7.9,8.2,7.89534282018111,0.140885587986845,0.2,222,NA,NA,NA,NA,NA,NA,1398,0,1398,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22723","soschwq",2002,12,1437,9.4,11,13,11.0848295059151,0.692714415398941,1,1437,22.06,47.27,50.68,44.5777800974252,6.38683134557708,8.81,1437,13.3,30.7,33.1,28.7640222686152,4.50203837702993,6.2,1437,36.7,97.1,108.6,96.1504523312456,8.07659761983985,10.7,1437,3.8,9,10,8.81816283924843,0.631693103340168,0.699999999999999,1428,0.1,2.22,4,2.16764005602241,0.752677513065655,1.03,0,NA,NA,NA,NA,NA,NA,1437,7.3,8,8.2,8.00647181628393,0.140358206954358,0.199999999999999,1425,2,7,854,12.2561403508772,39.1281163167503,5,1437,0,1437,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22724","soschwq",2003,1,1440,9.7,11.2,12.9,11.2325694444444,0.608546093732472,0.899999999999999,1440,22.75,41.685,48.99,41.0019513888889,5.303278636116,8.5775,1440,13.7,26.7,31.9,26.2208333333333,3.72662928255414,6.1,1440,81.4,100.85,114,100.401388888889,5.97802073537669,9.40000000000001,1440,7.9,9.4,10.3,9.33131944444444,0.431102706407124,0.5,1440,0.61,2.41,4.07,2.37173611111111,0.731784903538406,0.97,0,NA,NA,NA,NA,NA,NA,1440,7.5,7.9,8.1,7.905625,0.134893563426085,0.2,1439,2,6,81,7.45378735232801,5.63509498156619,3,1440,0,1440,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22725","soschwq",2003,2,1309,8.7,10.6,11.9,10.5489686783804,0.575248322735716,0.700000000000001,1309,20.46,43,49.94,42.1914514896868,5.75895003770886,8.73,1309,12.2,27.6,32.5,27.0349121466769,4.0394021224436,6.2,1309,76.5,97,108.7,97.5063407181054,4.37479378037702,5.2,1309,6.9,9.2,10,9.15271199388846,0.333252519739329,0.5,1309,0.52,2.15,3.65,2.10676852559205,0.699618414377747,1.04,0,NA,NA,NA,NA,NA,NA,1309,7.4,7.9,8.1,7.86210847975554,0.0968170055602499,0.100000000000001,1296,2,5,979,17.9976851851852,70.7780204580891,3,1309,0,1309,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22726","soschwq",2003,3,1446,10,11.1,15.3,11.2401106500692,0.734580162698225,0.699999999999999,1446,25.47,42.65,49.52,41.6489419087137,5.64366796977147,8.3625,1446,15.6,27.35,32.2,26.6748271092669,3.94477655651302,5.875,762,89.5,103.9,133.2,104.819291338583,8.23441596776926,8.47499999999999,762,8.5,9.5,12.2,9.70564304461942,0.687953157219612,0.6,1446,0.5,2.06,3.49,2.01641770401107,0.66330536669445,1.07,0,NA,NA,NA,NA,NA,NA,1446,7.6,8,8.2,8.01590594744122,0.126857583578264,0.199999999999999,1428,2,5,958,20.5259103641457,86.0871205260932,3,762,0,762,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22727","soschwq",2003,4,1387,10.1,11.6,14.7,11.7043979812545,0.717490803855949,0.9,1387,26.33,41.75,49.12,41.3671665465032,5.1501190087349,7.89,1387,16.1,26.7,32,26.489978370584,3.60983811832512,5.5,1387,87.9,103.6,115.6,102.252847873107,6.07393339177275,9,1387,8,9.5,10.4,9.39264599855804,0.487287889390528,0.6,1387,0.42,2.16,3.71,2.11034607065609,0.664659333960519,1.045,0,NA,NA,NA,NA,NA,NA,1227,7.7,8.1,8.3,8.08948655256724,0.125059126401649,0.199999999999999,1384,1,4,946,9.99132947976879,46.6466068027874,3,1387,0,1387,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22728","soschwq",2003,5,1434,9.9,13.2,17.3,13.3058577405858,1.43262523702784,1.9,1434,33.67,45.775,51.01,44.9752092050209,3.92939522266946,5.315,1434,21.2,29.7,33.3,29.0908647140865,2.77764859209271,3.8,1434,71,101.7,124.6,100.96820083682,8.95387536935313,13.2,1434,5.9,8.9,10.4,8.82698744769874,0.782950556652168,1.1,1434,0,2,3.43,1.9129009762901,0.708670719285824,1.04,0,NA,NA,NA,NA,NA,NA,1434,7.8,8.1,8.3,8.07147838214784,0.129045737602886,0.199999999999999,1432,1,3,972,10.5293296089385,56.7543578993766,3,1434,0,1434,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22729","soschwq",2003,6,1338,8.2,13.3,17,13.2064275037369,1.95393562213763,3.1,1338,42.7,49.53,52.45,49.2537443946188,1.64308822751485,2.24,1338,27.5,32.4,34.2,32.1529895366218,1.13213516146466,1.5,1338,43.4,104.4,144.3,104.477130044843,16.5009892992188,24.65,1338,4.1,8.9,12.6,8.97675635276532,1.39445078300245,2.1,1338,0.01,1.96,3.52,1.8923019431988,0.721775894095697,1.0075,0,NA,NA,NA,NA,NA,NA,1338,7.6,8,8.3,8.01644245142003,0.132063384491615,0.199999999999999,1184,2,3,297,5.29476351351351,14.4386107568028,2,1338,0,1338,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22730","soschwq",2003,7,1433,8.9,14,19,13.912700628053,2.3577088656935,3.7,1433,46.13,50.12,51.91,50.0822540125611,0.918058363556614,1.27,1433,30,32.8,33.9,32.774040474529,0.607376850090183,0.800000000000004,1433,14,109.5,160.5,111.74829030007,19.0550426307233,30.8,1433,1.3,9.4,13.6,9.43782274947662,1.60579650239618,2.6,1433,0.15,2,3.51,1.96183531053733,0.72070238141629,1,0,NA,NA,NA,NA,NA,NA,1433,7.5,8,8.3,8.04124214933706,0.151419237867896,0.299999999999999,415,1,3,47,4.32289156626506,3.64775509354908,2,1433,1,1433,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22731","soschwq",2003,8,652,9.2,14,19.5,14.1176380368098,2.43159792163481,3.525,652,48.3,50.23,51.63,50.2250920245399,0.708745559433124,1,652,31.6,32.9,33.7,32.8849693251534,0.44554924661822,0.600000000000001,652,54.9,122.55,175,121.410582822086,24.2473682033817,38.85,652,4.3,10.15,15,10.2199386503067,2.12206634854528,3.3,652,0.4,2.1,3.5,2.06365030674847,0.756079824407107,1.2,0,NA,NA,NA,NA,NA,NA,652,7.6,8,8.3,8.01625766871166,0.149487957129199,0.199999999999999,652,1,4,25,4.74846625766871,3.14638955459658,2,652,0,652,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22732","soschwq",2003,9,1029,9,12.6,17.5,12.5995140913508,1.95456408831644,2.9,1029,48.82,50.95,51.99,50.8685034013605,0.573918450970089,0.780000000000001,1029,31.9,33.4,33.9,33.3019436345967,0.35489368267515,0.399999999999999,1029,70.4,94,131,96.5243926141885,13.4975368031474,21.4,1029,5.8,8.2,11.3,8.33343051506317,1.06982397470333,1.5,1029,0.6,2.1,3.5,2.06316812439261,0.68247523288144,1.1,0,NA,NA,NA,NA,NA,NA,1029,7.5,7.8,8.1,7.80651117589893,0.120417460960447,0.2,1029,1,3,174,3.99125364431487,6.39817894833074,3,1029,0,1029,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22733","soschwq",2003,10,1438,10.1,12.6,16.4,12.76140472879,1.33624281440355,1.9,1438,47.43,50.1,51.25,50.0072670375522,0.685015560656901,0.93,1438,30.8,32.8,33.5,32.6931849791377,0.462070928164951,0.600000000000001,1438,70.6,103.4,122.8,102.229554937413,8.87419824620711,12.2,1438,6,8.9,11,8.842280945758,0.809653533167302,1.1,1438,0.35,2.28,3.73,2.18949235048679,0.692746959808692,1.06,0,NA,NA,NA,NA,NA,NA,1438,7.6,7.9,8.1,7.9153685674548,0.0943437010683793,0.0999999999999996,1438,1,3,65,4.33588317107093,4.55728010640648,3,1438,0,1438,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22734","soschwq",2003,11,1389,8.9,11.1,13.4,11.0441324694024,1.07613109170372,1.9,1389,36.17,47.69,51.28,47.0134485241181,2.77230040840542,2.85,1389,22.8,31,33.4,30.4590352771778,1.98671725877989,2.2,1389,81.4,97.9,112,97.719222462203,5.60671535142342,8.10000000000001,1389,7.4,8.9,10.1,8.88372930165587,0.511082003476626,0.800000000000001,1389,0.15,2.3,3.79,2.20568034557235,0.715799910296365,1.05,0,NA,NA,NA,NA,NA,NA,1389,7.7,7.9,8,7.90892728581713,0.0710628534951885,0.0999999999999996,1125,0,3,807,24.5315555555556,74.6109728423747,4,1389,0,1389,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22735","soschwq",2003,12,1440,7.7,10.6,11.7,10.40875,0.782775726997796,1,1440,15.79,42.895,49.01,41.2200069444444,6.14222754444468,8.055,1440,9.2,27.5,31.9,26.3531944444444,4.28456230583418,5.7,1440,82.6,103.2,119.7,103.015555555556,6.33763763856637,9.02500000000001,1440,7.9,9.8,10.9,9.74409722222222,0.565617748465651,0.699999999999999,1440,0.32,2.31,3.98,2.25706944444444,0.721352502098122,0.9825,0,NA,NA,NA,NA,NA,NA,1440,7.3,8,8.1,7.93763888888889,0.108818828026332,0.0999999999999996,1325,1,6,144,10.2905660377358,14.7695574697269,5,1440,0,1440,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22736","soschwq",2004,1,1442,7.3,10.1,11.2,9.96990291262136,0.793228536013066,0.9,1442,21.14,41.435,50.24,40.5925936199723,6.33978456694015,9.7,1442,12.6,26.4,32.8,25.8925797503467,4.42883042502281,6.8,1441,91,103.1,114.5,103.032963219986,4.68402161661283,6,1441,8.8,9.8,11.2,9.87501734906315,0.50318473562999,0.699999999999999,1442,0.23,2.27,3.68,2.22198335644938,0.710359121578922,1.01,0,NA,NA,NA,NA,NA,NA,1442,7.4,8,8.1,7.9619972260749,0.0962785975573429,0.0999999999999996,1442,1,3,49,3.90776699029126,2.65017158777085,3,1441,0,1441,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22737","soschwq",2004,2,1341,8.7,10.4,11.2,10.3363907531693,0.364101973625541,0.4,1341,26.11,42.27,50.23,41.8912751677852,5.5996322853329,8.65000000000001,1341,15.9,27,32.7,26.8102908277405,3.93382935862993,6.2,1341,94.6,104,112.7,103.757568978374,3.7148125919333,5.40000000000001,1341,8.9,9.8,10.5,9.79798657718121,0.256154925949805,0.4,1341,0.75,2.41,3.85,2.36565995525727,0.693959298636367,1.06,0,NA,NA,NA,NA,NA,NA,1341,7.9,8.1,8.2,8.04108873974646,0.0659376143415299,0.0999999999999996,1341,-2,0,350,1.40044742729306,12.4094318886748,3,1341,0,1341,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22738","soschwq",2004,3,1445,10,11.1,14,11.2728719723183,0.731113341666054,0.9,1445,22.42,43.89,49.82,42.4205813148789,5.4067889067669,7.57,1445,13.5,28.2,32.4,27.220830449827,3.78225765834191,5.4,1445,93.3,106.5,120.6,106.621107266436,5.81003443691632,9.10000000000001,1445,8.6,9.9,11,9.84034602076125,0.470249113999365,0.699999999999999,1445,0.57,2.19,3.26,2.08306574394464,0.67493537125419,1.09,0,NA,NA,NA,NA,NA,NA,1445,7.9,8,8.2,8.0480276816609,0.0807121989973632,0.0999999999999996,1445,-2,3,79,2.82768166089965,3.41680837264497,1,1445,0,1445,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22739","soschwq",2004,4,1362,9.9,11.9,16.1,12.11953010279,1.04173049496895,1.3,1362,26.74,43.75,49.3,42.7240308370044,4.75313420482427,6.025,1362,16.4,28.2,32.1,27.4553597650514,3.32224106988976,4.3,1362,84.3,101.5,118.7,101.050881057269,6.81053145352474,10.6,1362,7.6,9.2,10.5,9.14654919236417,0.580764894558031,0.9,1362,0.45,2.17,3.51,2.10188693098385,0.676869577628736,1.0275,0,NA,NA,NA,NA,NA,NA,1362,7.8,8,8.2,7.99831130690162,0.107902710165402,0.199999999999999,66,NA,NA,NA,NA,NA,NA,1362,0,1362,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22740","soschwq",2004,5,1416,11.3,14.1,18.1,14.1785310734463,1.24424536700338,1.8,1416,37.96,45.135,48.64,44.8305649717514,1.93885689028494,2.8725,1416,24.2,29.2,31.7,28.9999293785311,1.36562285791579,2.1,1312,54.4,101.3,122.6,99.9305640243903,9.72940702638874,13.125,1312,4.7,8.7,10.4,8.58193597560976,0.844862376518814,1.1,1416,0.26,2.18,3.66,2.11180084745763,0.709701329624911,1.0625,0,NA,NA,NA,NA,NA,NA,1416,7.6,8,8.2,7.94710451977401,0.117536938126191,0.0999999999999996,1034,0,4,367,5.41295938104449,12.790692190904,4,1312,0,1312,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22741","soschwq",2004,6,1429,9.6,14,18.1,13.9409377186844,1.81978219667003,2.6,1429,40.39,47.42,51.5,47.2457872638209,2.34842387686122,3.48,1429,25.9,30.9,33.6,30.7272918124563,1.65258807706607,2.5,1429,61.3,97.7,148.1,98.4776067179846,13.7515026786476,17.9,1429,5.6,8.4,12.7,8.40083974807558,1.08048612888899,1.5,1429,0.11,2.14,3.65,2.08614415675297,0.731205335394648,1,0,NA,NA,NA,NA,NA,NA,1429,7.6,8,8.2,7.94709587123863,0.12768255417168,0.0999999999999996,1429,0,2,445,3.72918124562631,15.9885768295697,3,1429,0,1429,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22742","soschwq",2004,7,1441,9.4,14.4,19.8,14.2909784871617,2.43809219591608,3.7,1441,46.85,50.46,52.26,50.3413115891742,0.953023995958413,1.17,1441,30.5,33.1,34.2,32.9748785565579,0.653287946843693,0.799999999999997,1441,49.3,102.2,173.3,106.290700902151,22.6179546334336,33.9,1441,4.5,8.6,14.9,8.88258154059681,1.82896312395792,2.6,1441,0.14,2.08,3.7,2.02580152671756,0.749180524175064,1.04,0,NA,NA,NA,NA,NA,NA,1441,7.6,8,8.5,8.05995836224844,0.201245423518936,0.299999999999999,1441,0,3,219,3.25954198473282,6.09843623499488,2,1441,0,1441,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22743","soschwq",2004,8,1475,9.7,14.9,19.3,14.7003389830508,2.15242594990299,3.1,1475,45.96,49.24,51.12,49.1342779661017,0.822828009694155,1,1475,29.9,32.2,33.4,32.1126779661017,0.561419577213297,0.699999999999999,1472,67,99.1,143.2,100.314605978261,13.9033762869451,20.5,1472,5.3,8.3,12.2,8.37004076086957,1.15606425714936,1.7,1475,0.17,2.15,3.53,2.09069152542373,0.716688021086279,1.1,0,NA,NA,NA,NA,NA,NA,1472,7.8,8.1,8.3,8.05366847826087,0.128157444322506,0.0999999999999996,1475,2,4,25,3.93830508474576,1.78592905230269,2,1472,0,1472,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22744","soschwq",2004,9,1426,10.1,14.5,18,14.2191444600281,1.83302402932943,2.9,1426,40.94,48.54,50.36,48.1210589060309,1.62107958419136,1.73999999999999,1426,26.3,31.7,32.8,31.3675315568022,1.13837271085881,1.2,1426,71.2,100.95,133.6,101.294600280505,11.429859584475,15.8,1426,6,8.5,11,8.56570827489481,0.901014295753697,1.2,1426,0.68,2.18,3.47,2.13038569424965,0.683352565173012,1.11,0,NA,NA,NA,NA,NA,NA,1426,7.7,8,8.3,8.02524544179523,0.11254991592933,0.174999999999999,1426,2,4,15,3.78892005610098,1.47099797533139,2,1426,0,1426,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22745","soschwq",2004,10,1474,9.7,11.9,15.7,12.1862279511533,1.20880746904636,1.3,1474,40.4,48.02,50.58,47.479565807327,2.05288440168413,2.51000000000001,1474,25.8,31.25,33,30.8421981004071,1.45747954520148,1.8,1474,78.1,99.3,122.6,99.805223880597,8.00236683318575,10.9,1474,6.7,8.8,10.7,8.83059701492537,0.643717391822058,0.9,1474,0.41,2.255,3.72,2.19550203527815,0.706800771754732,1.06,0,NA,NA,NA,NA,NA,NA,1474,7.7,8,8.2,7.99165535956581,0.121339438280328,0.199999999999999,1474,0,3,333,3.77001356852103,8.77519782164759,2,1474,0,1474,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22746","soschwq",2004,11,1371,8.2,10.4,12.3,10.5038657913931,0.716973317620176,0.600000000000001,1371,39.73,47.4,50.65,47.0513274981765,2.35102158008788,3.46000000000001,1371,25.3,30.7,33,30.455579868709,1.67288483161789,2.5,1371,77.9,96.8,117.4,97.1419401896426,7.38374118568291,10.4,1371,7.2,8.9,10.7,8.93172866520788,0.645755260335291,0.9,1371,0.43,2.28,4.06,2.16956965718454,0.736637183569583,1.07,0,NA,NA,NA,NA,NA,NA,1371,7.7,7.9,8.2,7.96338439095551,0.122748025170213,0.199999999999999,1371,1,3,13,3.59080962800875,1.70774196783225,1,1371,0,1371,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22747","soschwq",2004,12,1458,8,9.6,11.5,9.65788751714678,0.731445993885899,1.1,1458,19.97,45.895,50.46,44.2950205761317,5.20026893669832,6.3975,1458,11.9,29.55,32.8,28.4633744855967,3.63000764783723,4.6,1458,83.6,100.7,114.9,100.633470507545,4.40069616374755,5.7,1458,7.8,9.6,10.6,9.54588477366255,0.341139747228772,0.4,1458,0.53,2.35,4.09,2.31675582990398,0.7293311473502,0.99,0,NA,NA,NA,NA,NA,NA,1458,7.5,8,8.1,8.00404663923182,0.0918285413578753,0.0999999999999996,1458,1,4,35,5.2482853223594,3.76762576714841,3,1458,0,1458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22748","soschwq",2005,1,970,7,9.3,11.3,9.21824742268041,1.03125912229436,1.4,1437,31.54,44.38,49.56,43.9598469032707,3.87732871587824,6.32,1437,19.5,28.5,32.2,28.2205984690327,2.76825295677107,4.5,1437,96.9,103.8,115.6,104.186778009743,3.47324120158946,5.2,1437,9.1,9.8,10.8,9.87870563674321,0.332614770110263,0.5,1437,0.41,2.44,4.07,2.39208768267223,0.71770483810981,1,0,NA,NA,NA,NA,NA,NA,1437,7.7,8.1,8.2,8.07313848295059,0.0668800606181087,0.0999999999999996,1432,1,3,44,3.8358938547486,3.10343862126143,2,1437,0,1437,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22749","soschwq",2005,2,1325,8.5,10.6,12.3,10.5919245283019,0.630879351087849,0.800000000000001,1325,38.67,46.77,50,46.3984,2.5983670226298,4.01000000000001,1325,24.5,30.2,32.6,29.9941886792453,1.86146022758338,2.9,1325,93.1,104.8,116.2,104.949962264151,3.88489138083306,5.7,1325,8.5,9.7,10.4,9.65811320754717,0.297960442409453,0.4,1325,0.26,2.28,3.67,2.23772830188679,0.698683733428086,1.06,0,NA,NA,NA,NA,NA,NA,1325,7.9,8.1,8.3,8.1342641509434,0.0647118149438775,0.0999999999999996,1322,1,3,45,4.47730711043873,3.42540484390869,2,1325,0,1325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
