"station","year","month","po4f","nh4f","no2f","no3f","no23f","chla_n","po4f_cens","nh4f_cens","no2f_cens","no3f_cens","no23f_cens","chla_n_cens"
"acebbnut",2002,2,0.0486,0.056,,,0.0228,2.356,0,0,,,0,0
"acebbnut",2002,3,0.0512,0.0376,,,0.0067,3.328,0,0,,,0,0
"acebbnut",2002,4,0.0622,0.0976,0.0025,0.0161,0.0186,3.085,0,0,0,0,0,0
"acebbnut",2002,5,0.0204,0.0281,0.0036,,0.0034,3.108,0,0,0,,0,0
"acebbnut",2002,6,0.0702,0.1291,0.0032,,0.0255,2.543,0,0,0,,0,0
"acebbnut",2002,7,0.1057,0.1134,0.0021,,0.0442,3.421,0,0,0,,0,0
"acebbnut",2002,8,0.0753,0.2847,0.0036,0.0421,0.0457,3.368,0,0,0,0,0,0
"acebbnut",2002,9,0.0853,0.0592,0.0038,,0.0592,3.072,0,0,0,,0,0
"acebbnut",2002,10,0.0598,0.0356,0.0016,,0.0435,1.416,0,0,0,,0,0
"acebbnut",2002,11,0.0459,0.1688,0.0037,,0.0327,2.961,0,0,0,,0,0
"acebbnut",2002,12,0.1056,0.1717,0.0018,0.0334,0.0352,1.728,0,0,0,0,0,0
"acebbnut",2003,1,0.0706,0.0482,,,0.0276,3.516,0,0,,,0,0
"acebbnut",2003,2,0.0847,0.0867,0.0037,0.0108,0.0145,3.516,0,0,0,0,0,0
"acebbnut",2003,3,0.0373,0.0033,0.0034,,0.0182,2.204,0,0,0,,0,0
"acebbnut",2003,4,0.027,0.0531,0.004,0.0051,0.0091,3.172,0,0,0,0,0,0
"acebbnut",2003,5,0.072,9e-04,0.0067,0.0355,0.0422,5.089,0,0,0,0,0,0
"acebbnut",2003,6,0.0409,0.0895,,,0.0166,4.46,0,0,,,0,0
"acebbnut",2003,7,0.0886,0.0616,,,0.0388,12.436,0,0,,,0,0
"acebbnut",2003,8,0.0516,0.1478,,,0.0923,6.144,0,0,,,0,0
"acebbnut",2003,9,0.0438,0.0323,,,0.0098,4.127,0,0,,,0,0
"acebbnut",2003,10,0.0458,0.0019,,,0.0752,4.404,0,0,,,0,0
"acebbnut",2003,11,0.0285,0.0012,,,0.0353,3.905,0,0,,,0,0
"acebbnut",2003,12,0.0299,0.0434,,,0.0173,3.305,0,0,,,0,0
"acebbnut",2004,1,0.0313,0.03005,,,0.01225,4.0155,0,0,,,0,0
"acebbnut",2004,2,0.04885,0.04865,,,0.0077,4.4965,0,0,,,0,0
"acebbnut",2004,3,0.4609,0.0106,,,0.0052,4.589,0,0,,,0,0
"acebbnut",2004,4,0.03445,0.25105,,,0.0166,5.3945,0,0,,,0,0
"acebbnut",2004,5,0.0246,0.0024,,,6e-04,4.663,0,0,,,0,0
"acebbnut",2004,6,0.0481,0.07515,,,0.00775,8.448,0,0,,,0,0
"acebbnut",2004,7,0.0444,0.2256,,,0.0117,8.716,0,0,,,0,0
"acebbnut",2004,8,0.4085,0.05145,,,0.12005,6.477,0,0,,,0,0
"acebbnut",2004,9,0.0682,0.01215,,,0.0098,4.099,0,0,,,0,0
"acebbnut",2004,10,0.06005,0.01895,,,0.0539,4.005,0,0,,,0,0
"acebbnut",2004,11,0.08535,0.0241,,,0.02405,5.08,0,0,,,0,0
"acebbnut",2004,12,0.0714,0.0164,,,0.0162,3.995,0,0,,,0,0
"acebbnut",2005,1,0.052,0.01,,,0.0165,2.01,0,0,,,0,0
"acebbnut",2005,2,0.064,0.029,,,0.006,4.138,0,0,,,0,0
"acebbnut",2005,3,0.046,0.023,,,0.008,4.0285,0,0,,,0,0
"acebbnut",2005,4,0.0475,0.027,,,0.007,4.493,0,0,,,0,0
"acebbnut",2005,5,0.0555,0.0825,,,0.0255,5.2105,0,0,,,0,0
"acebbnut",2005,6,0.066,0.0655,,,0.027,4.3495,0,0,,,0,0
"acebbnut",2005,7,0.073,0.0365,,,0.039,8.0065,0,0,,,0,0
"acebbnut",2005,8,0.055,0.053,,,0.018,11.4265,0,0,,,0,0
"acebbnut",2005,9,0.091,0.0675,,,0.0265,2.6375,0,0,,,0,0
"acebbnut",2005,10,0.08,0.0905,,,0.0525,2.0265,0,0,,,0,0
"acebbnut",2005,11,0.051,0.054,,,0.0195,3.8345,0,0,,,0,0
"acebbnut",2005,12,0.0425,0.057,,,0.025,3.01,0,0,,,0,0
"acebbnut",2006,1,0.0706,0.0413,,,0.0153,2.9,0,0,,,0,0
"acebbnut",2006,2,0.0572,0.06875,,,0.0105,3.25,0,0,,,0,0
"acebbnut",2006,3,0.03285,0.02385,,,0.06625,3.15,0,0,,,0,0
"acebbnut",2006,4,0.1189,0.04425,,,0.0131,5.7,0,0,,,0,0
"acebbnut",2006,5,0.0898,0.05585,,,0.00965,4.65,0,0,,,0,0
"acebbnut",2006,6,0.1331,0.07435,,,0.01725,5.95,0,0,,,0,0
"acebbnut",2006,7,0.08365,0.0621,,,0.0257,7.2,0,0,,,0,0
"acebbnut",2006,8,0.0769,0.05005,,,0.02835,6.9,0,0,,,0,0
"acebbnut",2006,9,0.04275,0.05345,,,0.01555,4.1,0,0,,,0,0
"acebbnut",2006,10,0.0547,0.06155,,,0.0145,2.8,0,0,,,0,0
"acebbnut",2006,11,0.0411,0.0141,,,0.01675,4.25,0,0,,,0,0
"acebbnut",2006,12,0.0446,0.02695,,,0.0137,3.75,0,0,,,0,0
"acebbnut",2007,1,0.036,0.0145,,,0.0165,2.4,0,0,,,0,0
"acebbnut",2007,2,0.0295,0.021,,,0.019,4.1,0,0,,,0,0
"acebbnut",2007,3,0.024,0.0145,,,0.01,5.55,0,0,,,0,0
"acebbnut",2007,4,0.0335,0.0045,,,0.012,8.05,0,0,,,0,0
"acebbnut",2007,5,0.0375,0.045,,,0.013,5.7,0,0,,,0,0
"acebbnut",2007,6,0.053,0.0355,,,0.0105,8.6,0,0,,,0,0
"acebbnut",2007,7,0.062,0.0685,,,0.02,4.7,0,0,,,0,0
"acebbnut",2007,8,0.072,0.0975,,,0.0325,9.8,0,0,,,0,0
"acebbnut",2007,9,0.059,0.086,,,0.044,7.2,0,0,,,0,0
"acebbnut",2007,10,0.0995,0.074,,,0.026,5.95,0,0,,,0,0
"acebbnut",2007,11,0.0635,0.042,,,0.017,4.8,0,0,,,0,0
"acebbnut",2007,12,0.0545,0.0345,,,0.018,2.35,0,0,,,0,0
"acebbnut",2008,1,0.044,0.0389,,,0.0257,2.84,0,0,,,0,0
"acebbnut",2008,2,,0.031,,,,4.41,,0,,,,0
"acebbnut",2008,3,,0.0263,,,,4.8,,0,,,,0
"acebbnut",2008,4,0.0325,0.01595,,,0.0015,3.515,0,0,,,0,0
"acebbnut",2008,5,0.029,0.04465,,,0.00405,3.92,0,0,,,0,0
"acebbnut",2008,6,0.0435,0.09025,,,0.0188,3.745,0,0,,,0,0
"acebbnut",2008,7,0.0605,0.0501,,,0.03015,6.245,0,0,,,0,0
"acebbnut",2008,8,0.0475,0.0234,,,0.0087,6.315,0,0,,,0,0
"acebbnut",2008,9,0.0492,0.02715,,,0.0084,9.705,0,0,,,0,0
"acebbnut",2008,10,0.02845,0.039,,,0.0165,8.505,0,0,,,0,0
"acebbnut",2008,11,0.0269,0.0233,,,0.0156,3.985,0,0,,,0,0
"acebbnut",2008,12,0.031,0.03255,,,0.0118,6.495,0,0,,,0,0
"acebbnut",2009,1,0.0265,0.0155,,,0.0115,,0,0,,,0,
"acebbnut",2009,2,0.025,0.013,,,0.01,5.59,0,0,,,0,0
"acebbnut",2009,3,0.02,0.005,,,0.0055,7.265,0,0,,,0,0
"acebbnut",2009,4,0.0345,0.0585,,,0.0195,6.01,0,0,,,0,0
"acebbnut",2009,5,0.0495,0.082,,,0.0095,7.155,0,0,,,0,0
"acebbnut",2009,6,0.046,0.0725,,,0.0165,8.965,0,0,,,0,0
"acebbnut",2009,7,0.057,0.0315,,,0.0155,9.01,0,0,,,0,0
