"","station","year","month","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totprcp_nValid","totprcp_total","dailyPAR_nValid","dailyPAR_min","dailyPAR_median","dailyPAR_max","dailyPAR_mean","dailyPAR_sd","dailyPAR_iqr"
"505","cbmjbmet",2003,7,902,16.6,23.8,33.8,24.2559866962306,3.74111194896587,6.1,902,34,85.5,98,80.2217294900222,15.9996411621108,27,902,1007,1019,1027,1018.12195121951,5.13573640477891,9,902,0.2,1.1,6.9,1.22272727272727,1.10200306520715,1.7,0,NA,NA,NA,NA,NA,NA,902,0,180,355,175.305986696231,101.494698131495,150.75,902,34.3,10,10711.8,25729,46809.2,29245.55,11563.9826282826,17827.875
"506","cbmjbmet",2003,8,2976,14.4,24.1,36.4,24.8687836021505,3.89796283776344,5.5,2976,26,91,98,82.9462365591398,16.2789485945609,25,2976,1010,1017,1029,1017.91330645161,4.34262179510253,6,2976,0.2,0.9,10.6,1.14902553763441,1.0644787534237,1.7,0,NA,NA,NA,NA,NA,NA,2976,0,179,355,183.812836021505,87.2439461185751,100,2976,138.1,31,14489.1,34964,45942.9,33852.8580645161,8771.85012338804,13191.7
"507","cbmjbmet",2003,9,2880,6.1,20.8,32.2,20.6543402777778,4.61722937882547,6.4,2880,32,89,99,81.4027777777778,17.4700535495427,26,2880,1002,1020,1028,1019.30381944444,4.83385500562348,6,2880,0.2,1,16.1,1.5115625,1.84840787161939,1.8,0,NA,NA,NA,NA,NA,NA,2880,0,171,355,183.620138888889,110.438122146219,214,2880,144.6,30,4170.9,29781.05,40024.2,27877.5133333333,9858.79912519017,13267.325
"508","cbmjbmet",2003,10,2776,-0.8,13.3,29.1,13.1619236311239,5.53426493822061,7.9,2776,26,86,99,78.1462536023055,19.9753597857976,33,2776,995,1020,1033,1018.6621037464,7.14460808006298,8,2776,0.2,0.9,9.5,1.48944524495677,1.58891665123391,2.1,225,NA,NA,NA,NA,NA,NA,2776,0,190,358,196.864913544669,111.86093094195,195.25,2776,58.8,30,1128.7,21569.6,32704.7,20797.2533333333,7878.55392690349,10065.675
"509","cbmjbmet",2003,11,2880,-3.7,10.6,28.1,10.6102083333333,6.39400932813634,9.5,2880,24,83,99,75.2006944444445,21.7817970423374,39,2880,997,1021,1042,1020.56458333333,7.82417916531671,7,2880,0.2,1.6,13,2.11677083333333,2.00875125755031,2.7,2880,0.2,2.8,19.6,3.69954861111111,3.46642254240778,3.8,2880,0,177,360,200.663541666667,102.776523992321,158,2880,98.3,30,2539.2,13142.1,19254.9,12474.2566666667,5415.965431095,7361.025
"510","cbmjbmet",2003,12,2976,-5.3,2.3,16.8,3.26438172043011,4.67030902338426,6.6,2976,25,66,98,68.2681451612903,20.2248372154228,36,2976,992,1021,1038,1020.04469086022,8.30755566019618,12,2976,0.2,2.4,11.2,2.51777553763441,1.78762785160061,2.6,2976,0.2,4.1,16.6,4.40873655913979,3.03086602425151,4.3,2976,0,272,360,229.720766129032,108.405663526355,172,2976,132.7,31,1144.2,11917.3,14735.2,10300.6709677419,4186.45812759772,4884.6
"511","cbmjbmet",2004,1,2976,-13.7,-2.3,23.1,-1.24707661290323,6.68922812912972,7.7,2976,26,57,98,62.4798387096774,20.1496818193081,34,2976,997,1019,1033,1019.03057795699,7.27394838986767,11,2976,0.2,2.6,7.4,2.66549059139785,1.64611137229395,2.6,2976,0.2,4.4,14.3,4.76804435483871,2.87802050425391,4.7,2976,0,243.5,360,215.592741935484,121.463507544241,204,2976,32.2,31,1453.3,12068.1,20219.2,10733.9774193548,5232.08175131784,7837
"512","cbmjbmet",2004,2,2783,-12,1.6,19.2,2.10190441969098,5.17465828746318,6.3,2783,14,64,99,64.1203736974488,21.3176876875379,35,2783,1000,1024,1039,1023.47718289616,8.22264545724589,11,2783,0.2,1.5,8,1.92853036291771,1.56988814059153,2.4,2783,0.2,2.6,13.1,3.48559108875314,2.6871938628345,3.9,2783,0,195,360,194.598275242544,129.52042392108,273.5,2783,54.1,29,1315.1,20221.4,27250.9,17633.0965517241,6664.18126412083,10202
"513","cbmjbmet",2004,3,2976,-5.8,7.5,25,8.19855510752688,6.19536567885845,8.7,2976,20,71,97,68.0870295698925,19.4668126064832,33,2976,1003,1023,1036,1022.30947580645,7.53751341612325,11,2976,0.2,2.3,8.6,2.52368951612903,1.80028568126162,2.8,2976,0.2,3.8,15.1,4.37809139784946,2.95186205634865,4.5,2976,0,172,360,189.635080645161,111.437147673205,218,2976,59.9,31,2107.3,19035.4,33558.7,19642.8677419355,9077.8176279466,16519.7
"514","cbmjbmet",2004,4,2880,-0.5,11.6,31.6,13.396875,6.96849835979125,10.5,2880,18,70,97,65.8454861111111,23.2702700378488,44,2880,999,1016,1030,1015.65451388889,7.76144945962358,13,2880,0.2,2.5,8.2,2.66291666666667,1.74899559326851,2.5,2880,0.2,4.3,17.5,4.69670138888889,2.90644435323693,4,2880,0,185,360,195.097222222222,111.911089569631,199,2879,97.9,30,3113.4,32174.45,42065.1,25499.12,13750.7291969754,26658
