"","station","year","month","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totprcp_nValid","totprcp_total","dailyPAR_nValid","dailyPAR_min","dailyPAR_median","dailyPAR_max","dailyPAR_mean","dailyPAR_sd","dailyPAR_iqr"
"1692","grbgbmet",2002,1,2972,-8.4,0.2,11.8,0.342227456258412,3.54688890249622,4.5,2972,19,72,99,71.8512786002692,19.1528798226344,32,2972,982,1010,1031,1009.59152086137,7.7699181362739,9,2972,0.2,1.7,11.6,1.91830417227456,1.55693519690034,2,0,NA,NA,NA,NA,NA,NA,2972,0,161,355,182.173283983849,73.3174599643712,76,2972,60.1,31,1143.3,10856.8,17451.8,9529.54516129032,4979.94397136077,7963.85
"1693","grbgbmet",2002,2,2687,-14.2,0.4,13.1,-0.0132489765537774,5.24061151588959,6.9,2687,12,63,100,64.8366207666543,21.8630006043742,35,2687,990,1013,1035,1012.96873836993,8.83752099701611,14,2687,0.2,1.5,10.3,1.90569408262002,1.65445346332234,2.3,0,NA,NA,NA,NA,NA,NA,2687,0,164,355,179.298846296985,82.2722063902054,101.5,2687,43.1,28,1966.7,17056.95,27659.8,16733.7785714286,7468.10771452984,11648.75
"1694","grbgbmet",2002,3,2976,-9.2,2.4,17.4,2.81898521505376,4.77762070580334,5.5,2976,16,67,100,66.3145161290323,24.8898184637966,48,2976,996,1018,1037,1017.9247311828,9.00452061602125,14,2976,0.2,1.9,12.1,2.33034274193548,2.03028747812545,2.9,0,NA,NA,NA,NA,NA,NA,2976,0,164,355,182.781922043011,95.6483220012199,137,2976,83.9,31,5747.1,21955.5,38625.7,21319.5387096774,11216.3267265083,20772.35
"1695","grbgbmet",2002,4,2880,-4.4,7.6,33.8,8.45024305555556,5.8209052956755,7.7,2880,14,67,99,67.3059027777778,23.3605437669918,42,2880,998,1015,1039,1015.83402777778,8.11104473174837,9,2880,0.2,2,11.6,2.40868055555556,1.83342465985547,2.6,0,NA,NA,NA,NA,NA,NA,2880,0,157,355,174.813194444444,96.9327255466764,133,2880,85.2,30,5540.6,32368.2,48523.6,30103.17,12020.7269557598,18150.075
"1696","grbgbmet",2002,5,2976,1.3,12.7,29.2,13.1861559139785,5.85428004382101,8.8,2976,14,62,99,62.3592069892473,24.274127788836,44,2976,992,1015,1026,1013.51344086022,7.94361351987494,11,2976,0.2,2,11.4,2.29264112903226,1.80200904135299,2.3,0,NA,NA,NA,NA,NA,NA,2976,0,152,355,167.23622311828,85.7800488745702,67,2976,108.5,31,4599.6,40493.6,57966.8,38004.4322580645,15763.1151862058,16889.05
"1697","grbgbmet",2002,6,2880,4.9,17.6,32.3,17.7216666666667,5.45951941159906,8.1,2880,21,79,99,74.9472222222222,21.2711042069919,37,2880,994,1013,1033,1014.03125,8.28053597080988,12,2880,0.2,1.4,9.8,1.66177083333333,1.32219687417225,2,0,NA,NA,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,NA,2880,146,30,4462,36587.9,56421.4,32613.14,14951.9057517555,17769.325
"1698","grbgbmet",2002,7,2976,10.7,21.7,36.5,22.3363911290323,5.13501962032126,6.8,2976,27,75,99,71.323252688172,18.5923001222719,29,2976,1004,1013,1025,1013.03091397849,4.54967561551143,5,2976,0.2,1.3,6.9,1.44277553763441,1.21571843739061,2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2976,31,31,12104.1,39770.4,54386.8,38969.9419354839,11328.0902659355,16133.85
"1699","grbgbmet",2002,8,2975,9.1,22.3,36,22.5144537815126,5.28457928699625,7.4,2975,23,70,98,67.5687394957983,19.1711901087539,32,2975,1005,1016,1036,1016.56504201681,5.70489131587454,7,2975,0.2,1.1,9.5,1.46850420168067,1.33285254716114,2,0,NA,NA,NA,NA,NA,NA,2170,0,183,355,172.201382488479,91.526955006631,165,2975,37.1,31,11906.7,39844.3,49216,37963.7516129032,9079.60724113369,10690.65
"1700","grbgbmet",2002,9,2880,6.2,18.5,34,18.7401736111111,5.04775189621028,6.3,2880,19,81,100,76.1277777777778,20.3912322877382,32,2880,987,1016,1033,1015.96354166667,7.21180508898724,8,2880,0.2,1.3,8.4,1.57277777777778,1.36775573141006,2.1,0,NA,NA,NA,NA,NA,NA,2880,0,232,355,192.302777777778,91.3281568066259,156,2880,91.3,30,4488.9,24184.5,40237.5,24819,10531.6303238027,17798.725
"1701","grbgbmet",2002,10,2975,-3.7,9.6,28.4,9.64121008403361,6.16413929073592,7.9,2975,22,78,99,73.9085714285714,19.5084787614842,32,2975,991,1017,1030,1017.59092436975,7.15443896889509,10,2975,0.2,1.3,13.4,1.61653781512605,1.53716416986047,2.1,0,NA,NA,NA,NA,NA,NA,2975,0,236,355,188.211428571429,101.272402623303,182,2975,114.3,31,2375.2,18595.9,28202,15849.6580645161,7386.27927370627,11514.7
"1702","grbgbmet",2002,11,2880,-8.1,3.6,19.9,4.09638888888889,5.45041504117161,6.5,2880,18,78,100,75.5680555555556,19.8906934966429,33,2880,985,1012,1028,1010.66979166667,8.94580517976695,12,2880,0.2,1.5,11,1.98079861111111,1.67854368841759,2.3,0,NA,NA,NA,NA,NA,NA,2880,0,239,355,194.446875,98.3823411720285,183,2880,42.2,30,1399.9,7674.5,21500.3,8513,5693.85529345088,7669.1
"1703","grbgbmet",2002,12,2976,-14.7,-1.2,13.4,-1.27116935483871,4.45898305211406,6.4,2976,16,65,100,66.5638440860215,21.4386744669233,36,2976,984,1013,1033,1011.55544354839,10.6031365553596,16,2976,0.2,1.9,14.9,2.16058467741935,1.7451653826097,2.4,0,NA,NA,NA,NA,NA,NA,2976,0,249,355,213.9375,93.6856793357717,100,2976,57.9,31,1105,9561.4,12691.7,7593.76451612903,3770.61300379203,6058.5
"1704","grbgbmet",2003,1,2964,-21,-5.9,5.5,-6.87061403508772,5.13978776994731,7,2964,25,68,100,66.7398785425101,21.1351855195171,35,2964,979,1011,1031,1009.76889338731,9.73909892723043,12,2964,0.2,1.9,10.6,2.09001349527665,1.60460066699679,2,0,NA,NA,NA,NA,NA,NA,2964,0,252,355,213.251686909582,97.0680445819444,138.75,2964,5.4,31,1946.8,9008.9,17430.4,9703.48387096774,4792.97306996376,8680.05
"1705","grbgbmet",2003,2,2688,-21.9,-4.1,11.3,-4.85141369047619,6.52095116560434,10.2,2688,17,61,100,62.6506696428571,24.7853380160759,48,2688,980,1013,1037,1012.2849702381,11.3195246611827,13,2688,0.2,1.7,14.9,2.11770833333333,1.79151507625614,2.2,0,NA,NA,NA,NA,NA,NA,2688,0,249,355,207.268601190476,98.7001640980459,176,2688,36.5,28,976,15903.9,24529.2,13861.9071428571,7616.3228798139,13544.675
"1706","grbgbmet",2003,3,2976,-16.9,1.4,18.7,1.05621639784946,6.65043386457649,8.2,2976,18,74,100,71.1105510752688,22.9922356547182,43,2976,990,1013,1029,1012.95564516129,7.89817860422891,11,2976,0.2,1.7,11.8,2.1,1.77199123620194,2.6,0,NA,NA,NA,NA,NA,NA,2976,0,231,355,198.617607526882,89.9338783014575,137,2976,94.3,31,2376.4,21082.1,30108.2,19067.635483871,7699.46164908294,9852.25
