"","station","year","month","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totprcp_nValid","totprcp_total","dailyPAR_nValid","dailyPAR_min","dailyPAR_median","dailyPAR_max","dailyPAR_mean","dailyPAR_sd","dailyPAR_iqr"
"3947","niwolmet",2002,1,2973,-2.6,10.6,23.7,10.2086781029263,6.11728229691774,8.9,2973,26,82,100,78.1994618230743,17.4645836503205,26,2973,1001,1020,1031,1019.16851664985,5.10774137208416,6,2868,0,3.1,16.1,3.32601115760112,1.93370049824081,2.5,0,NA,NA,NA,NA,NA,NA,2868,0,232,363,201.975592747559,109.0318595044,214.25,2972,60.3,31,2503.6,17803.6,24951.2,16575.2419354839,6372.87618383694,7748.2
"3948","niwolmet",2002,2,2688,-4.6,10.3,24.9,10.0754836309524,5.32381349126688,6.6,2688,15,70,99,67.5680803571429,21.5788213490228,34,2688,1008,1021,1031,1020.09821428571,5.32627557939536,9,2688,0,3.2,16.7,3.51328125,2.1672388882459,2.9,0,NA,NA,NA,NA,NA,NA,2688,0,248,363,215.57849702381,112.90910057807,205,2688,49.5,28,5388.4,22332.2,37606.7,22153.625,9714.92810002272,15843.325
"3949","niwolmet",2002,3,2976,-3.5,15,27.9,14.3479166666667,5.6760332664156,6.8,2976,13,87,100,79.4694220430108,19.5932351334226,25,2976,1007,1020,1034,1020.39280913978,5.84942160799664,8,2974,0,3.5,14.8,3.82982515131137,2.28725129858648,3.2,0,NA,NA,NA,NA,NA,NA,2974,0,166,364,168.5507733692,107.453119234574,206,2975,93.4,31,2949.6,31021.5,42195.3,27224.1193548387,10790.2631676717,17036.4
"3950","niwolmet",2002,4,2877,6.2,19.5,32.8,19.8223844282238,4.79979783572667,5.3,2877,14,76,99,73.2707681612791,18.781649890296,29,2877,1007,1020,1031,1019.5304136253,5.2118068594147,7,2877,0,4,11,4.06437261035801,2.1457350226437,2.9,0,NA,NA,NA,NA,NA,NA,2877,0,185,363,171.496697949253,100.879620936278,173,2877,76.4,30,11302.8,37977.35,51251.8,37060,11336.2538539277,13265.825
"3951","niwolmet",2002,5,2976,8,22.1,31,21.0842405913979,4.36378029331391,5.6,2976,29,80,98,75.3823924731183,16.6295963494228,23,2976,1007,1019,1028,1018.08366935484,5.02237569185469,8,2976,0,4.1,14.2,4.35299059139785,2.17706558990964,2.9,0,NA,NA,NA,NA,NA,NA,2976,0,193,360,172.931451612903,109.023392781039,186,2976,79.3,31,15001.5,51735.6,57301.8,47015.7419354839,11609.3017460648,12258.5
"3952","niwolmet",2002,6,2880,16.7,24.8,34.5,24.8954166666667,2.53780854529529,3,2880,31,82,98,79.4784722222222,12.6740561912761,16,2880,1004,1018,1027,1016.74305555556,5.2134655158873,9,2880,0,3.8,11.8,4.03625,2.14667084754119,2.9,0,NA,NA,NA,NA,NA,NA,2880,0,170,360,165.897569444444,90.2715189221497,151,2880,128.2,30,11030,46111.65,58686.2,41887.9333333333,15130.03562592,23012.975
"3953","niwolmet",2002,7,1770,20.6,27.1,35.7,27.068813559322,2.7248244827045,3,1770,35,79,97,76.8689265536723,12.4220484279178,16.75,1605,1011,1016,1024,1016.73769470405,3.27411154406743,6,1770,0,3.6,11.8,3.81293785310734,2.1089239073546,2.7,0,NA,NA,NA,NA,NA,NA,1770,0,199,360,190.561016949153,85.5833238399006,132,1761,163.8,22,20436.7,44326.5,54084.3,39363.8136363636,10669.483963792,16349.075
"3954","niwolmet",2002,8,2169,19.5,26,35,26.2027662517289,2.66707437133938,3.3,2169,36,83,98,79.5938220378054,13.628186638004,20,2169,1010,1019,1025,1017.96680497925,3.64926886718335,6,2169,0,3.2,10.7,3.32586445366528,1.7637204633282,2.4,0,NA,NA,NA,NA,NA,NA,2169,0,197,360,192.500691562932,87.499789796697,123,2168,191.2,23,9253,40458.1,51772.4,36059.8695652174,13531.2169808603,21287.05
"3955","niwolmet",2002,9,2879,20,25.7,33.6,25.5083014935742,2.01716156770783,2.9,2879,30,81,98,80.6009030913512,11.0443612039377,15,2879,1005,1016,1022,1015.73914553664,3.73492328503649,4,2879,0,3.8,12.6,3.98662730114623,2.10145513229989,2.6,0,NA,NA,NA,NA,NA,NA,2879,0,106,360,151.398402222994,113.206948002201,204,2872,139.3,30,12169.3,33035.3,46753.8,31638.7733333333,9374.13100196615,13362.525
"3956","niwolmet",2002,10,2787,10.4,20.4,31.8,20.3264800861141,4.0837185597855,5.9,2787,40,89,99,85.5489773950484,10.9317543706439,13,2787,1000,1017,1024,1016.39217796914,4.22196209356504,4,2787,0,2.8,13.5,3.14251883745963,1.96105765720306,2.6,0,NA,NA,NA,NA,NA,NA,2787,0,211,360,184.174739863653,129.873357472665,265,2780,80.4,30,4659.7,18990.75,35064.8,18679.37,9788.31474368713,17045.225
"3957","niwolmet",2002,11,2876,-0.4,12.8,26.8,12.790438108484,5.22151292577938,7.6,2876,31,85,99,78.3546592489569,17.11144287938,28,2876,1001,1019,1028,1017.53233657858,5.89260384456111,8,2876,0,2.5,12.6,2.88936022253129,1.95404369341113,2.2,0,NA,NA,NA,NA,NA,NA,2876,0,266,360,228.45966620306,108.304508431238,167,2875,61.6,30,3491.5,15210.35,26555,15184.28,6173.26299709565,7309.05
"3958","niwolmet",2002,12,2976,-1.3,8.2,18.8,8.19952956989247,4.3886055418721,5.7,2976,20,79,99,74.9835349462366,19.0513873264647,33,2976,997,1020,1030,1019.05880376344,6.42700995187329,9,2976,0,3.2,15,3.57624327956989,2.24369221513499,3,0,NA,NA,NA,NA,NA,NA,2976,0,253,360,210.398857526882,113.601780605224,209.25,2974,106.2,31,1918.7,12991.9,20324.7,12555.5096774194,6333.24666798711,11900.15
"3959","niwolmet",2003,1,2975,-8.8,5.6,21.8,6.18927731092437,5.94047326210182,8.8,2975,17,62,98,62.0336134453782,20.9442581578645,35,2975,1003,1020,1032,1018.57983193277,6.81543576985421,9,2975,0,3.5,12.7,3.67152941176471,1.98896404935727,2.7,0,NA,NA,NA,NA,NA,NA,2975,0,260,360,241.900168067227,90.8729267699852,95,2975,18.7,31,4359.1,14485.4,25049.6,15137.6225806452,5510.87582130159,9275
"3960","niwolmet",2003,2,2688,-0.3,8.1,22,8.81986607142857,4.37999644626469,6,2688,14,83,100,76.9270833333333,19.2834777775334,28,2688,995,1018,1027,1017.10714285714,5.90399380564909,8,2688,0,3.3,15.3,3.72403273809524,2.36041567219838,2.9,0,NA,NA,NA,NA,NA,NA,2688,0,231.5,360,205.483630952381,109.181311219793,206.25,2688,65.3,28,3454.2,15335.9,29372.5,16376.5892857143,8101.93147782444,12975.975
"3961","niwolmet",2003,3,2976,2.5,14,25.3,13.9221102150538,4.31470361399112,5.5,2976,28,90,100,84.6938844086021,15.1591681629862,16,2976,1001,1014,1027,1014.36055107527,4.6962931456266,7,2976,0,3.3,14.2,3.65450268817204,2.29739638268028,3.1,0,NA,NA,NA,NA,NA,NA,2976,0,123.5,360,160.603158602151,108.614331707214,205.25,2976,306.1,31,4039,16174.1,34962.1,16560.3903225806,8198.87935689404,12000.85
"3962","niwolmet",2003,4,2880,2.9,16.8,26.2,16.4245833333333,4.39661603349928,5.8,2880,24,85,99,79.2423611111111,17.2179784383087,24,2880,1002,1017,1030,1015.93576388889,6.06744300733464,8,2880,0,3.6,13.5,3.84395833333333,2.26605459554937,3,0,NA,NA,NA,NA,NA,NA,2880,0,213,360,189.536111111111,104.315000825228,187,2880,166.1,30,4911.8,33303.5,45165.3,28966.7533333333,13716.5312898212,25144.675
"3963","niwolmet",2003,5,2899,14,21.6,31.4,21.8593652983788,3.40347695153203,4.6,2724,25,85,100,81.0102790014684,14.9300943251606,18,2892,999,1015,1024,1014.50069156293,4.2188077932549,5,2728,0,3.5,13.4,3.79912023460411,2.26259891007132,2.9,0,NA,NA,NA,NA,NA,NA,2899,0,218,355,188.502932045533,98.6767186228009,173,2728,100.4,31,10233.3,32074.4,43525.4,29563.8322580645,10904.265247611,20693.05
"3964","niwolmet",2003,6,2724,14.8,25,31.2,25.1091776798825,2.74542925047671,3.7,2724,37,87,101,83.1354625550661,15.506896269713,22,2724,1003,1015,1024,1014.95925110132,3.34328476495114,5,2724,0,3,9.6,3.22055800293686,1.83932127063955,2.5,0,NA,NA,NA,NA,NA,NA,2724,0,225,355,217.459251101322,76.9933070259907,87,2711,219.8,29,14430.4,38190.6,52912.6,35833.475862069,10581.9388752945,14917.1
"3965","niwolmet",2003,7,2976,20.7,25.7,33.5,25.9765456989247,2.32957044331093,3.2,2976,52,92,101,89.0880376344086,9.55129335497915,14,2976,1010,1018,1027,1017.62970430108,2.95841964056413,4,2976,0,3.2,12.2,3.39721102150538,2.05839350359037,2.7,0,NA,NA,NA,NA,NA,NA,2976,0,225,355,212.960685483871,63.4648381447557,52,2954,352.5,31,18328.4,36191.8,47637.7,34815.335483871,9167.75357309697,17810.55
"3966","niwolmet",2003,8,2976,20.9,26.2,32.4,26.2139784946237,1.91888609973053,2.7,2976,54,94,102,90.8578629032258,9.0787567358233,13,2976,1010,1018,1027,1017.53125,3.74763090431248,5,2976,0,2.8,12.2,2.85322580645161,1.85280246805561,2.7,0,NA,NA,NA,NA,NA,NA,2976,0,205,355,194.243951612903,79.3213120897531,108,2976,85.9,31,19268.8,35845.8,44909,35515.0064516129,5635.87914620458,4889.9
"3967","niwolmet",2003,9,2880,12.1,23.2,29.2,22.9297916666667,3.08978551538569,4.3,2880,33,87.5,102,84.3388888888889,14.5992339753037,22,2880,1003,1016,1025,1016.09340277778,3.86790727940169,5,2880,0,3,11,3.18520833333333,1.98107842288242,2.5,0,NA,NA,NA,NA,NA,NA,2880,0,131,355,165.001388888889,128.995919322902,266.25,2880,106.8,30,6811.5,30421.35,39106.2,28175.5333333333,9227.85740194194,12934.725
"3968","niwolmet",2003,10,2970,9.2,19.5,26.4,18.6807744107744,3.54115067979808,4.9,2961,31,89,102,82.6501182033097,18.3223162045875,29,2970,1002,1017,1027,1016.15791245791,5.40538941968634,7,2970,0,2.5,10,2.72276094276094,2.03765341631536,2.6,1011,0.2,4.6,13.6,4.73323442136499,3.17464324392212,4,2970,0,159.5,359,178.70101010101,126.486436524946,253,2970,147.2,31,2792,27503.5,33436.8,23569.1225806452,8458.13563151714,10014.35
"3969","niwolmet",2003,11,2870,-0.1,16.4,28.1,15.8970034843206,5.86219981116218,9.4,2870,12,88,103,81.8205574912892,20.6495816860535,25,2870,1002,1020,1032,1020.07665505226,4.83874279321882,5,2870,0.2,2.7,11.2,2.89721254355401,2.19646232408985,3.5,2870,0.2,4.1,18.1,4.48623693379791,3.36116910848592,4.8,2870,0,230,360,198.308710801394,116.41598361749,239.75,2870,16.6,30,5765.2,22493.6,28213,19801.6166666667,6257.58202321782,6914.625
"3970","niwolmet",2003,12,2974,-3.2,7.5,19.2,7.84855413584398,4.74131595166465,6.8,2974,20,80,103,76.7246133154001,20.8392971616324,36,2974,1000,1021,1034,1020.08876933423,6.69926184606386,10,2974,0.2,2.6,11.4,2.89132481506389,2.10275844174308,2.6,2974,0.2,4,16.6,4.5453261600538,3.18490648872969,4.275,2974,0,278,360,226.328177538668,115.555823019341,218.75,2974,94.2,31,3093.2,18028,22182.7,15768.1838709677,6331.85682792953,9292.95
"3971","niwolmet",2004,1,2971,-6.1,5.9,24.1,7.17633793335577,6.22991389374468,9.1,2975,16,69,102,67.9835294117647,22.4488373919279,39,2975,999,1020,1033,1019.22756302521,6.50660364547472,8,2975,0.2,3,11.1,3.19731092436975,1.89985474327018,2.3,2975,0.2,4.9,15.2,5.03764705882353,2.92013760082255,3.7,2975,0,258,360,219.699831932773,112.848472402493,171,2975,46.9,31,2874.1,20131.7,26940.6,18139.1709677419,6795.50543169005,8119.2
"3972","niwolmet",2004,2,2768,-1.2,7.6,22.4,7.77113439306358,4.37088403683561,5.5,2697,13,84,102,79.2591768631813,19.021402081761,30,2775,1007,1021,1035,1020.84108108108,6.22334016279166,9,2775,0.2,4.1,14.6,4.16284684684685,2.35817003993398,3.2,2775,0.2,6.4,22.4,6.39765765765766,3.48518828900194,5,2775,0,113,360,168.129369369369,128.64366841535,253,2775,109.3,29,3149.7,15297.5,32657.7,17596.8551724138,9639.3267140244,17487.7
"3973","niwolmet",2004,3,2963,-0.9,14.1,25.5,14.1435369557881,5.07579165742606,6.7,2963,17,75,99,70.6685791427607,20.5446315482941,30,2963,1006,1022,1036,1022.05366182923,6.77362491730301,10,2963,0.2,3.9,11.3,3.87077286533918,2.11029988573762,3,2963,0.2,5.8,21.2,5.78400269996625,3.07204630669178,4.4,2963,0,206,360,180.09314883564,103.62094332543,190,2956,23.5,31,12574.7,34407.8,40582.9,31887.3032258065,6649.79603514192,8178.05
"3974","niwolmet",2004,4,2879,2.8,18.4,27.3,17.3849253212921,4.73239782925797,6.5,2879,12,75,99,71.6123654046544,20.0833340283799,30,2879,1002,1017,1031,1016.49531087183,7.50190355034342,12,2879,0.2,3.7,11.6,3.6978464744703,2.08004405457817,2.8,2879,0.2,5.6,17.3,5.63504689128169,3.0444514157313,4.4,2879,0,218,359,216.286557832581,77.2111501401983,99,2879,58.5,30,13033.1,40844.95,45513.8,38241.01,8119.41821651799,7233.55
"3975","niwolmet",2004,5,2972,7.9,23.6,32.7,23.0254374158816,3.95727676029569,4.4,2972,34,78.5,98,76.6746298788695,13.9303016588268,20,2972,1006,1020,1029,1019.07772543742,5.15257107653452,9,2972,0.2,3.5,10.3,3.34024226110363,2.04452187127402,3,2972,0.2,5.6,15.2,5.1956931359354,2.88902709816436,3.7,2972,0,215,358,213.705248990579,60.3857335964749,82,2972,93,31,9236.2,43095.3,46678.5,39968.2612903226,7776.06460062661,5873.75
"3976","niwolmet",2004,6,2880,14,24.8,33.3,24.7909722222222,2.74618591659327,2.8,2880,39,80,97,78.5142361111111,10.7548290617968,13,2880,1009,1018,1023,1017.51076388889,2.92500130294764,5,2880,0.2,3.4,9,3.23527777777778,2.08644509530777,3.4,2880,0.2,5.5,16.1,5.15454861111111,2.84241068654915,3.7,2880,1,215,360,203.620486111111,71.2452534419386,106,2880,86.5,30,15989.7,37080.65,47250.7,35713.4466666667,8017.448265641,10788.35
"3977","niwolmet",2004,7,1102,14.3,23.4,33.3,23.3270417422868,4.04551019406919,5.2,1102,41,83,97,80.9845735027223,12.5306794353421,17,2972,1005,1015,1022,1014.66857335128,3.34046641006289,4,2972,0.2,2,8.5,2.2714333781965,1.92950349591901,3.6,2972,0.2,4,14.6,3.83347913862719,2.76570688543421,5.625,2972,0,222,359,205.987213997308,88.5373642315661,136.25,2972,108.3,31,13615.9,33486.2,43172.7,32547.0838709677,7521.8828760755,8068.2
"3978","niwolmet",2004,8,2336,5.5,21.1,27.8,20.7394691780822,3.94072466633202,4.7,2432,39,86,100,83.0193256578947,13.1166348311657,16,2964,998,1017,1022,1015.6157219973,4.45456711619491,6,2967,0.2,3.2,20.8,3.42018874283788,2.95941305929583,4.4,2967,0.2,5,31.7,5.27694641051567,4.004474197563,4.5,2967,0,164,360,170.541961577351,108.95746156556,181,2967,389.3,31,6640.9,32311.8,43188.4,29470.1709677419,10875.6620216639,17893.4
"3979","niwolmet",2004,9,2876,6.9,24.2,30.4,23.5172461752434,3.40275308433361,3.8,2876,38,88,101,84.2774687065369,11.5686620168406,14.25,2876,1004,1018,1024,1016.42732962448,4.31981528959046,6,2876,0.2,4.85,13.7,4.79374130737135,2.93710341447415,4.3,2876,0.2,7.3,19.9,7.00257301808067,3.94473742817886,5.75,2876,0,80,360,123.998609179416,106.564945691531,152,2876,64.7,30,7748.2,22301.75,38055.2,23048.5866666667,8596.05049854927,13409.225
