"","station","year","month","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totprcp_nValid","totprcp_total","dailyPAR_nValid","dailyPAR_min","dailyPAR_median","dailyPAR_max","dailyPAR_mean","dailyPAR_sd","dailyPAR_iqr"
"4705","pdbpfmet",2002,1,2976,-4.5,4.5,15.1,4.96942204301075,3.91874003957729,6,2976,59,92,100,89.7933467741936,8.84970508488589,12,2976,1001,1020,1031,1018.22143817204,8.19577821725479,14,2976,0.2,2.6,16.5,3.15057123655914,2.62025972340853,3.6,0,NA,NA,NA,NA,NA,NA,2976,0,154,355,155.078293010753,67.2336719304641,57,2976,98.4,31,887.2,2821.6,10931.8,3034.84516129032,1974.8997992875,1879.8
"4706","pdbpfmet",2002,2,2688,-2,5.6,12.6,5.25442708333333,2.92239707408467,3.6,2688,39,86,100,83.1324404761905,13.3580958196327,20,2688,1000,1023,1042,1022.96986607143,9.88871007545359,15,2688,0.2,2.6,12.6,3.00450148809524,2.37095025475651,3,0,NA,NA,NA,NA,NA,NA,2688,0,153,355,163.482142857143,95.4676366498573,101,2688,73,28,1415.2,5640.3,15616.8,7182.3,4368.19615885347,7591.525
"4707","pdbpfmet",2002,3,2976,-5.5,5.2,13.7,4.63403897849462,3.68250653819628,5.725,2976,37,85,100,82.8555107526882,12.7373449421777,17,2976,1004,1019,1036,1018.84744623656,7.28651893444205,12,2976,0.2,2.8,13.4,3.0752688172043,2.32799981120926,3.1,0,NA,NA,NA,NA,NA,NA,2976,0,165,355,173.237567204301,99.2138324592694,132,2976,78.6,31,2867.2,8771.5,19075.5,9600.5935483871,5070.87712175685,10185.1
"4708","pdbpfmet",2002,4,2880,-0.2,8.7,17.3,8.82361111111111,3.2213939692933,4.125,2880,31,84,99,80.8513888888889,13.2426048680131,20,2880,995,1019,1033,1018.14895833333,6.82890432710752,10,2880,0.2,2.9,17.3,3.31451388888889,2.48915489420354,3.3,0,NA,NA,NA,NA,NA,NA,2880,0,175,355,197.653819444444,94.8759081641794,132.25,2880,51.3,30,4062.4,14449.3,28802.1,16266.04,7757.10270377836,12655.1
"4709","pdbpfmet",2002,5,2976,-0.6,10.6,22.2,10.6962701612903,4.01867023446499,5.5,2976,29,85,100,81.0611559139785,14.5989394068977,25,2976,1006,1020,1027,1018.34375,5.09741551749347,8,2976,0.2,2.5,13.1,2.78269489247312,2.15321832894117,2.7,0,NA,NA,NA,NA,NA,NA,2976,0,189,355,201.818212365591,86.0682641965765,113,2976,51.2,31,3749.3,21050.6,35434.8,20805.0451612903,7805.01989875058,9837.25
"4710","pdbpfmet",2002,6,2880,5.8,14.7,26.7,14.8051736111111,3.81398829875419,4.9,2880,30,78,99,76.4708333333333,15.8143707097302,24,2880,1004,1018,1026,1017.53888888889,3.59921860824575,4,2880,0.2,2.8,13.1,3.03881944444444,2.02755419866417,2.8,0,NA,NA,NA,NA,NA,NA,2880,0,198,355,211.164236111111,87.8511389663589,121,2880,43.8,30,11302.1,49400.6,60540.4,45076.98,13670.2227545961,15818.425
"4711","pdbpfmet",2002,7,2976,5.9,15.4,25.8,15.6278897849462,3.62644744317364,5.4,2976,42,84,100,82.3618951612903,13.208085617699,22,2976,1009,1019,1030,1018.85047043011,3.68209199495252,4,2976,0.2,2.3,8.9,2.42993951612903,1.65312257514115,2.2,0,NA,NA,NA,NA,NA,NA,2976,0,204,355,213.08064516129,88.8569516915799,117,2976,28.2,31,7759.8,44105.2,58209,41782.9935483871,14435.9131195302,20985.75
"4712","pdbpfmet",2002,8,2976,5.9,15.7,26.9,15.5974126344086,3.9918248423743,6.2,2976,41,82,100,81.1696908602151,13.5318026414787,24,2976,1010,1019,1029,1018.83467741935,4.05403259306763,5,2976,0.2,2,9.2,2.13575268817204,1.55776784000509,2.1,0,NA,NA,NA,NA,NA,NA,2976,0,191,355,206.597782258065,97.6033122894397,167,2976,8.8,31,18878.9,42188.7,50504.1,40135.1612903226,8207.45724982987,11487.85
"4713","pdbpfmet",2002,9,2880,3.3,13.8,23.4,13.2038194444444,3.88534881180698,5.8,2880,45,89,100,85.7552083333333,12.4625234922156,21,2880,1007,1016,1027,1016.71527777778,4.16632857259778,7,2880,0.2,1.9,9.2,2.26836805555556,1.91788789208516,3.5,0,NA,NA,NA,NA,NA,NA,2880,0,181,355,201.519097222222,99.0146258236977,173,2880,31.6,30,7961.9,31608.35,41403.5,28775.8366666667,9704.92528626869,13025.9
"4714","pdbpfmet",2002,10,2976,-3.3,10,15.9,8.79744623655914,3.79707010407495,5.4,2976,36,96,100,91.6572580645161,11.051543155882,11,2976,1011,1020,1034,1021.63340053763,4.75295715067518,7,2976,0.2,1.5,7.7,1.83215725806452,1.57611079148209,2.7,0,NA,NA,NA,NA,NA,NA,2976,0,183,355,195.561491935484,111.278852924656,209.25,2976,23.5,31,3571.4,17724.2,30726.1,16125.1290322581,7150.36811444901,10930.75
"4715","pdbpfmet",2002,11,2880,-4.9,9.4,16.4,7.78086805555556,4.50039695018404,5.8,2880,37,90,100,88.515625,10.1275522192926,15,2880,985,1021,1037,1018.70104166667,10.5532868882418,8,2880,0.2,2.6,15.9,2.90586805555556,2.66691556576027,4.5,0,NA,NA,NA,NA,NA,NA,2880,0,156,355,172.114236111111,93.5773412579958,77,2880,36.9,30,1143.4,8066.4,18112.6,8305.71333333333,4624.51792535017,6496.5
"4716","pdbpfmet",2002,12,2976,-2.2,6,15.4,5.91028225806452,3.13094102765014,3.8,2976,48,90,100,87.6216397849462,10.6000787439258,14,2976,981,1012,1028,1011.54233870968,10.4705214901884,15,2976,0.2,3,14.9,3.48057795698925,3.17437097088721,5.2,0,NA,NA,NA,NA,NA,NA,2976,0,147,355,147.689516129032,80.1165980409063,70,2976,61.4,31,1509.8,3543.3,9772.7,4599.92580645161,2725.53597431988,4078.8
"4717","pdbpfmet",2003,1,2976,-2.1,7,14.9,6.96817876344086,3.39679614391665,4.5,2976,50,92,100,90.0440188172043,9.05061831835371,12,2976,1004,1020,1034,1020.05409946237,6.67800327392661,8,2976,0.2,1.9,14.3,2.61582661290323,2.81851051709388,3.9,0,NA,NA,NA,NA,NA,NA,2976,0,147,355,152.286290322581,93.7136889109189,97,2976,97.5,31,1390.3,5851.6,12803.1,6602.09032258065,3630.61821993214,6075.35
"4718","pdbpfmet",2003,2,2688,-3,5.2,11.7,4.64665178571429,3.26741589778185,5.3,2688,35,94,100,88.6045386904762,13.1445348307434,15,2688,1003,1020,1033,1019.72061011905,6.98808540484325,9,2688,0.2,1.7,11.3,2.03333333333333,1.88218622471137,3.1,0,NA,NA,NA,NA,NA,NA,2688,0,149,355,162.248883928571,98.9923299586427,116.25,2688,43.9,28,3986.1,10212.5,23028.3,11434.8964285714,6158.61001907279,9645.95
"4719","pdbpfmet",2003,3,2976,-2.5,8.05,15.8,7.87681451612903,3.21964036833036,4.3,2976,43,86,100,84.8662634408602,10.8164638414517,16,2976,988,1015,1034,1013.71774193548,9.6674956256799,13,2976,0.2,3.5,18.4,4.06001344086021,3.0850488793623,3.9,0,NA,NA,NA,NA,NA,NA,2976,0,165,355,177.24126344086,80.3202178946153,79,2976,65.6,31,4164.3,16575.9,29932.9,16288.8548387097,8154.14332470876,15010.8
"4720","pdbpfmet",2003,4,2880,1.5,8.9,18.8,9.04944444444445,3.11269845433693,4.1,2880,47,87,100,84.3791666666667,12.5542096494994,20.25,2880,1000,1013,1024,1012.509375,4.9668490061625,7,2880,0.2,3,13.1,3.40427083333333,2.35407736917735,3.35,0,NA,NA,NA,NA,NA,NA,2880,0,160,355,171.254166666667,81.1180597305524,64,2880,72.2,30,6159.2,26673.2,48538.6,26623.53,11776.2244519567,17195.225
