"","station","year","month","po4f","nh4f","no2f","no3f","no23f","chla_n","po4f_cens","nh4f_cens","no2f_cens","no3f_cens","no23f_cens","chla_n_cens"
"10202","gtmfmnut",2002,5,0.016,0.04,0.0016,7e-04,0.0023,5.6,0,0,0,0,0,0
"10203","gtmfmnut",2002,6,0.008,0.014,0.0014,NA,0.0037,1.6,0,0,1,NA,0,0
"10204","gtmfmnut",2002,7,0.012,0.027,0.0014,0.0024,0.0038,8,0,0,0,0,0,0
"10205","gtmfmnut",2002,8,0.014,0.047,0.0042,0.0038,0.008,6,0,0,0,0,0,0
"10206","gtmfmnut",2002,9,0.021,0.043,0.0099,0.0107,0.0206,1.6,0,0,0,0,0,0
"10207","gtmfmnut",2002,10,0.006,0.029,0.0076,0.0028,0.0104,6.8,0,0,0,0,0,0
"10208","gtmfmnut",2002,11,0.016,0.074,0.005,0.0199,0.0249,2.3,0,0,0,0,0,0
"10209","gtmfmnut",2002,12,0.007,0.048,0.0025,6e-04,0.0031,1.4,0,0,0,0,0,0
"10210","gtmfmnut",2003,1,0.006,0.012,0.0014,NA,0.0014,0.4,0,0,1,NA,1,0
"10211","gtmfmnut",2003,2,0.009,0.021,0.0025,0.0031,0.0056,1.1,0,0,0,0,0,0
"10212","gtmfmnut",2003,3,0.013,0.008,0.0014,NA,0.0014,1.8,0,1,1,NA,1,0
"10213","gtmfmnut",2003,4,0.002,0.02,0.0014,NA,0.0061,5,1,0,1,NA,0,0
"10214","gtmfmnut",2003,5,0.026,0.065,0.0036,0.0081,0.0117,3.4,0,0,0,0,0,0
"10215","gtmfmnut",2003,6,0.009,0.084,0.0023,0.0301,0.0324,3.1,0,0,0,0,0,0
"10216","gtmfmnut",2003,7,0.018,0.078,0.0018,0.0126,0.0144,2.2,0,0,0,0,0,0
"10217","gtmfmnut",2003,8,0.033,0.181,0.0072,0.0268,0.034,2.4,0,0,0,0,0,0
"10218","gtmfmnut",2003,9,0.011,0.076,0.0034,0.0076,0.011,3.8,0,0,0,0,0,0
"10219","gtmfmnut",2003,10,0.023,0.087,0.0025,0.0069,0.0094,2.8,0,0,0,0,0,0
"10220","gtmfmnut",2003,11,0.014,0.059,0.0021,0.0088,0.0109,2.9,0,0,0,0,0,0
"10221","gtmfmnut",2003,12,0.01,0.058,0.0014,NA,0.0018,1.3,0,0,1,NA,0,0
"10222","gtmfmnut",2004,1,0.0165,0.0515,0.00175,0.0045,0.00625,1.05,0,0,0,0,0,0
"10223","gtmfmnut",2004,2,0.0105,0.104,0.0014,NA,0.0014,1.1,0,0,1,NA,1,0
"10224","gtmfmnut",2004,3,0.0135,0.0455,0.00165,0.017,0.01865,1.5,0,0,0,0,0,0
"10225","gtmfmnut",2004,4,0.0165,0.142,0.00325,0.02145,0.0247,2.95,0,0,0,0,0,0
"10226","gtmfmnut",2004,5,0.014,0.1135,0.00265,0.0186,0.02125,3.95,0,0,0,0,0,0
"10227","gtmfmnut",2004,6,0.0115,0.0405,0.0014,NA,0.01055,4.4,0,0,1,NA,0,0
"10228","gtmfmnut",2004,7,0.0075,0.032,0.00355,0.00765,0.0112,3.45,0,0,0,0,0,0
"10229","gtmfmnut",2004,8,0.028,0.1245,0.00765,0.03175,0.0394,2.8,0,0,0,0,0,0
"10230","gtmfmnut",2004,9,0.0405,0.287,0.0153,0.0277,0.043,3.1,0,0,0,0,0,0
"10231","gtmfmnut",2004,10,0.01,0.062,0.0097,0.03045,0.04015,2.9,0,0,0,0,0,0
"10232","gtmfmnut",2004,11,0.012,0.037,0.0075,0.0161,0.0236,2.5,0,0,0,0,0,0
"10233","gtmfmnut",2004,12,0.003,0.07,0.0043,0.00985,0.01415,2,0,0,0,0,0,0
"10234","gtmfmnut",2005,1,0.0035,0.0475,0.0039,0.0085,0.0124,NA,0,0,0,0,0,NA
"10235","gtmfmnut",2005,2,0.002,0.008,0.0014,NA,0.0014,0.75,1,1,1,NA,0,0
"10236","gtmfmnut",2005,3,0.008,0.0395,0.0014,NA,0.00455,0.5,0,0,1,NA,0,0
"10237","gtmfmnut",2005,4,0.005,0.062,0.00285,0.01355,0.0164,3.5,0,0,0,0,0,0
"10238","gtmfmnut",2005,5,0.0135,0.055,0.0023,0.00435,0.00665,2.45,0,0,0,0,0,0
"10239","gtmfmnut",2005,6,0.0305,0.121,0.00585,0.02315,0.029,3.85,0,0,0,0,0,0
"10240","gtmfmnut",2005,7,0.0295,0.091,0.00395,0.0097,0.01365,3.9,0,0,0,0,0,0
"10241","gtmfmnut",2005,8,0.0265,0.056,0.0025,0.01585,0.01835,2.7,0,0,0,0,0,0
"10242","gtmfmnut",2005,9,0.0195,0.0205,0.00535,0.0055,0.01085,2.7,0,0,0,0,0,0
"10243","gtmfmnut",2005,10,0.023,0.041,0.00405,0.0067,0.01075,1.9,0,0,0,0,0,0
"10244","gtmfmnut",2005,11,0.0175,0.0175,0.0018,0.0035,0.0053,2.1,0,0,0,0,0,0
"10245","gtmfmnut",2005,12,0.0175,0.0415,0.00265,0.00995,0.0126,0.8,0,0,0,0,0,0
"10246","gtmfmnut",2006,1,0.0085,0.064,0.0041,0.0014,0.0055,0.8,0,0,0,0,0,0
"10247","gtmfmnut",2006,2,0.0155,0.049,0.0029,0.0097,0.0126,0.9,0,0,0,0,0,0
"10248","gtmfmnut",2006,3,0.0145,0.0255,0.0014,NA,0.00845,1.2,0,0,1,NA,0,0
"10249","gtmfmnut",2006,4,0.002,0.0235,0.0024,0.00315,0.00555,2.9,1,0,0,0,0,0
"10250","gtmfmnut",2006,5,0.0185,0.0705,0.00265,0.01035,0.013,2.25,0,0,0,0,0,0
"10251","gtmfmnut",2006,6,0.021,0.073,0.00185,0.0159,0.01775,1.45,0,0,0,0,0,0
"10252","gtmfmnut",2006,7,0.016,0.0385,0.00245,0.0105,0.01295,2.1,0,0,0,0,0,0
