"","station","year","month","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr"
"15686","niwcbwq",2002,1,1285,5.4,11.2,18.8,11.20046692607,2.43701334623408,3.1,1285,49.04,53.51,54.91,53.3630116731518,0.830721848036057,0.739999999999995,1285,32.1,35.2,36,35.0408560311284,0.543586980694727,0.399999999999999,682,68.7,98.6,116.7,96.6799120234604,9.0438509784761,10.8,682,5.6,8.4,10.2,8.23343108504399,0.806323914082569,1,1285,0.2,1.41,2.76,1.3815953307393,0.535060649291787,0.87,0,NA,NA,NA,NA,NA,NA,1285,7.4,7.9,8.2,7.89735408560311,0.183830402103619,0.2,753,0,2,283,6.50464807436919,21.3047240831768,3,682,0,682,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15687","niwcbwq",2002,2,1242,7.6,12.1,19.7,12.4496779388084,1.83485478442187,2,1242,49.29,54.1,55.09,53.6652979066023,1.05582011529133,1.29749999999999,1242,32.3,35.7,36.4,35.3487922705314,0.750515905507981,0.899999999999999,1242,71,99,118.9,97.8708534621578,8.68406920362709,10.4,1242,5.6,8.5,9.9,8.37842190016103,0.741006625772952,0.9,1242,0.17,1.36,2.37,1.33471014492754,0.50218984250453,0.8475,0,NA,NA,NA,NA,NA,NA,1242,7.8,8,8.2,8.02471819645733,0.0786220539803371,0.0999999999999996,1242,1,3,16,3.4170692431562,1.91603735335197,2,1242,0,1242,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15688","niwcbwq",2002,3,1441,8.5,15.7,23.4,15.4239417071478,2.65559472454741,3.5,1441,45.22,52.18,55.52,52.2833171408744,1.03749020881144,1.26,1441,29.2,34.4,36.4,34.4260929909785,0.746035309495026,0.899999999999999,1441,40.7,96.6,117.9,93.9279666897988,11.2731829942174,13.4,1441,3.1,7.8,10,7.63684941013185,1.05301593857371,1.2,1441,0.2,1.47,2.78,1.43707147814018,0.541723485249311,0.88,0,NA,NA,NA,NA,NA,NA,1441,7.5,8,8.2,7.99354614850798,0.114291231257902,0.199999999999999,1440,0,4,28,4.95555555555556,3.82515316980249,4,1441,0,1441,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15689","niwcbwq",2002,4,1089,15,20.6,28.1,20.5870523415978,2.76624005507378,3.9,1089,49.32,53.33,54.57,53.2129660238751,0.71838508622926,0.829999999999998,1089,32.3,35.2,36.2,35.1656565656566,0.534211516577886,0.700000000000003,1089,37.5,89.6,114.2,86.755463728191,14.1360065781272,19.8,1089,2.7,6.6,8.8,6.37089072543618,1.11115137853761,1.6,1089,0.41,1.57,2.87,1.54354453627181,0.531507565667812,0.85,0,NA,NA,NA,NA,NA,NA,1089,7.5,7.9,8.1,7.87456382001837,0.148600758717028,0.2,1064,0,5,484,5.97556390977444,15.1543753997017,4.25,1089,0,1089,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15690","niwcbwq",2002,5,1348,18,23.85,30.7,23.7658011869436,2.28623806936482,3.2,1348,49.71,53.68,55.12,53.5825667655786,0.743010749092726,0.770000000000003,1348,32.5,35.5,36.5,35.4057121661721,0.533792037559476,0.599999999999994,1348,12.1,83.8,109.9,80.0744065281899,18.2406687054502,25.425,1348,0.8,5.8,7.7,5.54272997032641,1.27952256364451,1.9,1348,0.29,1.62,2.84,1.60936943620178,0.54114053988363,0.81,0,NA,NA,NA,NA,NA,NA,1348,7.3,7.8,8.1,7.82299703264095,0.185372860053308,0.3,1344,0,7,32,8.09895833333333,4.77894352575835,7,1348,18,1348,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15691","niwcbwq",2002,6,1393,23.9,27,32.1,27.0565685570711,1.64464089591334,2.2,1393,48.84,54.13,55.82,53.8777243359655,1.22838913245614,1.65,1393,31.9,35.8,37,35.5547020818378,0.893081526541012,1.3,1393,6.2,77.2,110,74.4958363244795,20.2714484085964,28,1393,0.4,5,7.2,4.86719310839914,1.33518658696882,1.8,1393,0.65,1.78,2.77,1.73569992821249,0.496075360545666,0.82,0,NA,NA,NA,NA,NA,NA,1393,7.3,7.8,8.2,7.81493180186648,0.190110030377861,0.3,1393,1,10,256,11.2799712849964,11.0561787478732,7,1393,42,1393,664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15692","niwcbwq",2002,7,1344,26.4,29.2,34.1,29.3783482142857,1.31558613926476,1.6,1344,44.77,53.33,55.17,52.9049776785714,1.57137669585487,2.21749999999999,1344,28.9,35.1,36.4,34.7630208333333,1.15224283069631,1.6,1344,2.1,61.55,115,59.9552827380952,25.6137002399022,38,1344,0.1,3.9,7.2,3.78623511904762,1.61134643747102,2.3,1344,0.22,1.41,2.78,1.38208333333333,0.54230017176546,0.81,0,NA,NA,NA,NA,NA,NA,1344,7.2,7.7,8.1,7.66644345238095,0.225144281864492,0.4,1344,1,7,39,8.62723214285714,5.56276334580023,8,1344,203,1344,986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15693","niwcbwq",2002,8,1391,25.3,28.6,33,28.4852624011503,1.37887136602576,2,1391,39.69,54.64,56.45,53.8530841121495,2.5739120170156,0.995000000000005,1391,25.3,36.1,37.3,35.498490294752,1.86794751933176,0.699999999999996,1391,1.6,57.1,97.1,53.8749820273185,22.6079366177276,32.45,1391,0.1,3.7,6.2,3.44299065420561,1.44565067346741,2.1,1391,0.14,1.42,2.66,1.37818835370237,0.518628541923176,0.75,0,NA,NA,NA,NA,NA,NA,1391,7.2,7.7,8,7.66728971962617,0.199065591017964,0.3,1390,0,4,41,4.87410071942446,2.91750848193936,3,1391,244,1391,1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15694","niwcbwq",2002,9,1345,25.3,27.4,30.5,27.4721189591078,0.860424720776847,0.899999999999999,1345,44.9,53.53,55.01,52.7290557620818,2.26887530823071,2.38,1345,29,35.3,36.4,34.6973977695167,1.6711044101278,1.8,1345,2.1,67.1,105.2,63.8565055762082,22.2894584839136,32.2,1345,0.1,4.4,6.8,4.15732342007435,1.43740174724064,2.1,1345,0.15,1.35,2.53,1.3388624535316,0.500322782384377,0.77,0,NA,NA,NA,NA,NA,NA,1345,7.1,7.7,8,7.69672862453532,0.205079844257792,0.300000000000001,1345,0,5,22,5.19033457249071,2.21756958026915,2,1345,123,1345,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15695","niwcbwq",2002,10,1441,19,23.1,29.3,23.7815405968078,2.72560250473215,5.2,1441,48.49,52.46,54.65,52.3413948646773,1.45935547425006,2.27,1441,31.7,34.6,36.1,34.4828591256072,1.04188884977214,1.6,1441,5,70.8,107.6,68.3564885496183,19.5389259242228,25.4,1441,0.3,4.9,7.6,4.77133934767523,1.40378612921226,1.8,1441,0.29,1.4,2.56,1.37066620402498,0.482639415986701,0.79,0,NA,NA,NA,NA,NA,NA,1441,7.2,7.7,8,7.66120749479528,0.166794740289475,0.3,1441,0,3,41,3.529493407356,1.9179337352031,2,1441,70,1441,729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
