"","station","year","month","temp_nValid","temp_min","temp_median","temp_max","temp_mean","temp_sd","temp_iqr","spcond_nValid","spcond_min","spcond_median","spcond_max","spcond_mean","spcond_sd","spcond_iqr","sal_nValid","sal_min","sal_median","sal_max","sal_mean","sal_sd","sal_iqr","do_pct_nValid","do_pct_min","do_pct_median","do_pct_max","do_pct_mean","do_pct_sd","do_pct_iqr","do_mgl_nValid","do_mgl_min","do_mgl_median","do_mgl_max","do_mgl_mean","do_mgl_sd","do_mgl_iqr","depth_nValid","depth_min","depth_median","depth_max","depth_mean","depth_sd","depth_iqr","cdepth_nValid","cdepth_min","cdepth_median","cdepth_max","cdepth_mean","cdepth_sd","cdepth_iqr","ph_nValid","ph_min","ph_median","ph_max","ph_mean","ph_sd","ph_iqr","turb_nValid","turb_min","turb_median","turb_max","turb_mean","turb_sd","turb_iqr","doLessThan2_nValid","doLessThan2_total","doLessThan5_nValid","doLessThan5_total","level_nValid","level_min","level_median","level_max","level_mean","level_sd","level_iqr","clevel_nValid","clevel_min","clevel_median","clevel_max","clevel_mean","clevel_sd","clevel_iqr"
"18804","pdbbpwq",2002,1,1488,1.2,6.9,9.5,6.78783602150538,1.39105361121944,1.9,721,35.54,44.64,46.33,43.7584882108183,2.24153817852019,3.33,721,22.2,28.6,29.7,27.9341192787795,1.5786600619856,2.3,1488,82.6,92.5,104.6,93.2758064516129,4.21826089416673,5.3,1488,8.4,9.5,11,9.48245967741935,0.467844430644311,0.700000000000001,1488,0.31,2.96,4.3,2.75449596774194,0.944420069836096,1.41,0,NA,NA,NA,NA,NA,NA,1488,7.7,7.9,8.1,7.96135752688172,0.0921537040781252,0.0999999999999996,1488,1,6,218,10.4435483870968,12.8043909033264,9,1488,0,1488,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18805","pdbbpwq",2002,2,1344,3.9,6.9,8.5,6.73311011904762,0.763470053432839,0.9,1344,40.86,45.39,47.78,45.414255952381,1.16260986348726,1.64,1344,25.8,29,30.7,29.0069196428571,0.840285757568147,1.2,1344,86.2,96.5,115.6,96.9193452380952,4.52139095749043,6,1344,8.6,9.8,12.2,9.79836309523809,0.53658166198381,0.799999999999999,1344,0.45,2.77,4.05,2.61324404761905,0.823175595497022,1.2425,0,NA,NA,NA,NA,NA,NA,1344,7.6,8,8.1,7.95349702380952,0.0914985036155415,0.0999999999999996,1344,1,5,65,6.59077380952381,6.51734186957025,5,1344,0,1344,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18806","pdbbpwq",2002,3,1488,3.4,7,11.3,6.9317876344086,1.18798242807851,1.425,1488,39.94,45.1,47.32,45.0255577956989,1.45218966848037,2.14,1488,25.2,28.8,30.4,28.744623655914,0.988377988719879,1.4,1488,85.3,100.9,196.7,106.05248655914,15.7612967097972,15.9,1488,8.5,10.2,18.8,10.6805779569892,1.51104178578357,1.7,1488,0.9,2.765,3.78,2.55992607526882,0.721668605552158,1.1025,0,NA,NA,NA,NA,NA,NA,1488,7.6,7.8,8.9,7.90477150537634,0.24710308437006,0.3,1488,1,3,48,4.55913978494624,4.11868278469194,3,1488,0,1488,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18807","pdbbpwq",2002,4,1440,7.8,9.8,18.7,10.1320833333333,1.90253803454697,1.6,1440,38.1,45.16,48,45.01725,1.57740502368798,2.0475,1440,24.2,29,31,28.9630555555556,1.08038116313089,1.5,1440,79.7,109.95,205.7,115.827291666667,23.051036788784,28.3,1440,7.5,10.4,17.5,10.7938194444444,1.80138063664868,2.4,1440,0.61,2.76,3.76,2.59085416666667,0.759338914305736,1.1425,0,NA,NA,NA,NA,NA,NA,1440,7.7,8.3,9.2,8.35722222222222,0.268401813754578,0.300000000000001,1297,0,2,73,3.45952197378566,5.88509606000719,3,1440,0,1440,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18808","pdbbpwq",2002,5,1488,8.9,11.8,22.5,12.5422043010753,2.50181233164393,3.2,1488,41.17,44.97,47.83,45.0709274193548,1.20065895384328,1.6925,1488,26.4,29,31,29.1051075268817,0.833818314162474,1.2,1488,15,108.75,227.6,112.808400537634,35.7876630863453,50.85,1488,1.3,9.7,18.7,9.96236559139785,2.94176754404557,4.3,1488,0.47,2.69,3.97,2.53989247311828,0.840805560028705,1.22,0,NA,NA,NA,NA,NA,NA,1488,7.6,8.5,9.1,8.46619623655914,0.321594119775522,0.5,870,0,0,153,1.59770114942529,6.22693168852112,1,1488,7,1488,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18809","pdbbpwq",2002,6,1439,10.8,15,25.8,15.3496872828353,2.72162020172653,3.7,1439,34.46,44.04,47.6,44.021000694927,1.67274439890281,1.58000000000001,1439,21.7,28.5,30.9,28.4275191104934,1.17437588645518,1.1,307,NA,NA,NA,NA,NA,NA,307,NA,NA,NA,NA,NA,NA,1439,0.55,2.79,3.94,2.60523280055594,0.85912054241881,1.315,0,NA,NA,NA,NA,NA,NA,1439,7.1,8.3,9.2,8.26469770674079,0.491914205110456,0.899999999999999,489,0,3,97,5.21267893660532,7.36043384972199,7,307,NA,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18810","pdbbpwq",2002,7,1488,12.1,16,26.3,16.4647849462366,2.52871800496018,3.425,1488,36,43.945,46.04,43.2620497311828,1.98781541394548,2.37,1488,22.8,28.4,29.9,27.9067204301075,1.41203225931431,1.7,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1488,0.58,2.77,3.86,2.64373655913978,0.816110901688117,1.27,0,NA,NA,NA,NA,NA,NA,1488,7.7,8.6,9.3,8.56606182795699,0.311488305667276,0.5,284,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18811","pdbbpwq",2002,8,868,12.9,17.2,23.9,17.0168202764977,2.38922379425993,3.4,868,37.6,43.545,46.79,43.5320737327189,2.08352500173388,3.315,868,23.9,28.1,30.5,28.1039170506912,1.48262784644644,2.4,172,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,868,0.69,2.84,3.84,2.66306451612903,0.764531389131811,1.2025,0,NA,NA,NA,NA,NA,NA,868,7.9,8.6,9.2,8.54642857142857,0.267110922989729,0.399999999999999,719,0,1,610,3.25173852573018,26.6395373779031,2,172,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18812","pdbbpwq",2002,9,1440,12.2,14.3,19.5,14.5801388888889,1.44215111611477,1.9,1439,41.08,46.05,47.54,45.8313134120917,0.750735391738199,0.940000000000005,1439,26.3,29.9,31,29.7259902710215,0.531829683399208,0.700000000000003,1440,44.1,102.9,192.8,103.662083333333,20.1817573200838,23.875,1440,3.6,8.8,15.1,8.78819444444444,1.64535256493236,1.925,1440,0.91,2.88,3.81,2.65761111111111,0.722392837897884,1.1325,0,NA,NA,NA,NA,NA,NA,1440,7.7,8.3,9,8.30791666666667,0.220319040256744,0.200000000000001,610,0,2,35,2.4327868852459,2.05257028276095,1,1440,0,1440,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18813","pdbbpwq",2002,10,1421,3.7,11.4,14.8,11.2143560872625,1.49895436226552,1.4,1421,45.36,48.11,48.99,47.7830119634061,0.90570309968905,1.41,1421,29.3,31.1,31.8,31.0064039408867,0.630867792749099,1.1,1421,53.2,88.2,178.1,89.9379310344828,16.4097417287321,21.5,1421,4.9,8,15.1,8.10260380014075,1.37442955284439,1.8,1421,0.82,2.76,3.73,2.59901477832512,0.735280448885894,1.11,0,NA,NA,NA,NA,NA,NA,1421,7.4,8,8.5,7.97100633356791,0.20015040285414,0.3,1066,0,2,45,1.89774859287054,2.46893461211405,1,1421,0,1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
